title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Digital identities and verifiable credentials,"J Sedlmeir, R Smethurst, A Rieger…",2021,318,"… the development of verifiable credentials and standardized digital wallets. In this … to digital identity management. In particular, we discuss the challenges of today’s centralized identity …",1FZGb2WtHTMJ,"J Sedlmeir, R Smethurst, A Rieger… - Business & Information …, 2021 - Springer",[],https://link.springer.com/article/10.1007/s12599-021-00722-y,unknown,unknown
A survey on decentralized identifiers and verifiable credentials,"C Mazzocca, A Acar, S Uluagac…",2025,179,"… of digital identities [1]. As a result, the vast majority of the world’s population owns at least one digital identity, … However, the concept of digital identity extends far beyond the identification …",CHOsLWOO0VAJ,"C Mazzocca, A Acar, S Uluagac… - … Surveys & Tutorials, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10891701/,unknown,unknown
A novel authentication scheme based on verifiable credentials using digital identity in the context of web 3.0,"SL Nita, MI Mihailescu",2024,26,"… This paper explores the concept of digital identity in the evolving landscape of Web 3.0, … using verifiable credentials. The background sets the stage by placing digital identity within the …",nM18tqKqds0J,"SL Nita, MI Mihailescu - Electronics, 2024 - mdpi.com",[],https://www.mdpi.com/2079-9292/13/6/1137,unknown,unknown
Distributed-ledger-based authentication with decentralized identifiers and verifiable credentials,"ZA Lux, D Thatmann, S Zickau…",2020,136,"… highly centralized digital identity landscape. Furthermore, we propose a verifiable credential … verifiable way for retrieving digital certificates. Index Terms—authentication, self-sovereign …",-I9_eI6P9P8J,"ZA Lux, D Thatmann, S Zickau… - 2020 2nd Conference …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9223292/,unknown,unknown
Decentralised digital identity and verifiable credential tracking and management system,"S Mthethwa, T Singano, L Ndlovu…",2023,4,"… credentials with relevant parties. This paper proposes a secure and reliable decentralised digital identity, verifiable credential … and integrity of the user credentials and allows users to …",Xa-kDsYTNAAJ,"S Mthethwa, T Singano, L Ndlovu… - 2023 International …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10389306/,unknown,unknown
Cryptographic requirements of verifiable credentials for digital identification documents,"M Richter, M Bertram, J Seidensticker…",2023,8,"… are digital identity documents. Regarding their technical cryptographic requirements, we argue that most attempts of defining verifiable credentials … for nondigital ID card systems, which …",VUvw4H3luPoJ,"M Richter, M Bertram, J Seidensticker… - 2023 IEEE 47th …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10197083/,unknown,unknown
Verifiable Credentials for Identity Assurance in the Digital Society: An Overview and Trends in Standards Development,"N YAMADA, T SHINZAKI, T SHIMIZU, K OKABE",2026,0,"… In Europe, the introduction of the ""EU Digital Identity Wallet (EUDIW)"" is scheduled by the … as “a tamperevident credential whose authorship can be cryptographically verified,” this report …",nPsTHo7swoIJ,"N YAMADA, T SHINZAKI, T SHIMIZU, K OKABE - 2026 - boj.or.jp",[],https://www.boj.or.jp/en/research/wps_rev/rev_2026/data/rev26e06.pdf,unknown,unknown
Revocable and offline-verifiable self-sovereign identities,"A Abraham, S More, C Rabensteiner…",2020,55,… of a digital identity complete control over their identity data. … is the credential issuer: This issuer attests identity attributes … Our system is built upon DIDs and verifiable credentials (VCs). …,48lxUuUPyLEJ,"A Abraham, S More, C Rabensteiner… - 2020 IEEE 19th …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9343191/,unknown,unknown
How to Wisely Identify Natural Subjects in Verifiable Credentials,E Christopher,2023,1,"… to be addressed by the introduction of digital identity. The centralization opportunities for … another mostly overlooked aspect of Verifiable Credentials, namely credential updates. We will …",-wkb497NAfMJ,E Christopher - 2023 - cs.cit.tum.de,[],https://www.cs.cit.tum.de/fileadmin/w00cfj/sebis/thesis/231015_Christopher_Thesis.pdf,unknown,unknown
"Blockchain, self-sovereign identity and digital credentials: promise versus praxis in education","A Grech, I Sood, L Ariño",2021,118,"… verifiable credentials provided by third parties can be linked to it. Some of those verifiable credentials—Verifiable … , own and share their digital identity credentials in a trusted, distributed, …",GSbWcUssw34J,"A Grech, I Sood, L Ariño - Frontiers in Blockchain, 2021 - frontiersin.org",[],https://www.frontiersin.org/journals/blockchain/articles/10.3389/fbloc.2021.616779/full?ref=stanislavkondrashov.ghost.io,unknown,unknown
