title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Designing a secure and scalable data sharing mechanism using decentralized identifiers (DID),"IC Lin, IL Yeh, CC Chang, JC Liu…",2024,8,… on decentralized identifiers. The scheme utilizes blockchain technology to store the identifiers and … (W3C) standards for decentralized identifiers and verifiable credentials increases the …,klwTbRC6XOwJ,"IC Lin, IL Yeh, CC Chang, JC Liu… - Computer Modeling in …, 2024 - sciopen.com",[],https://www.sciopen.com/article/10.32604/cmes.2024.051612,unknown,unknown
A Blockchain Based Decentralized Identifiers for Entity Authentication in Electronic Health Records.,"T Manoj, K Makkithaya, N VG",2022,58,… built on top of blockchain using decentralized identifiers (DIDs) … This study proposes a Blockchain DID-EHR framework and … Hyperledger Indy blockchain and Aries library is used for …,hJdm5GidW2MJ,"T Manoj, K Makkithaya, N VG - Cogent Engineering, 2022 - researchgate.net",[],https://www.researchgate.net/profile/Manoj-Taleka/publication/359108238_A_Blockchain_Based_Decentralized_Identifiers_for_Entity_Authentication_in_Electronic_Health_Records/links/62286acd9f7b3246341b2ef8/A-Blockchain-Based-Decentralized-Identifiers-for-Entity-Authentication-in-Electronic-Health-Records.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9,unknown,unknown
Decentralized identifiers,"D Reed, M Sabadello",2021,11,"… level, a decentralized identifier (DID) is simply a new type of globally unique identifier—not … For example, some DID methods are based on blockchains or other distributed ledgers. In …",oLJ5oYvtM2gJ,"D Reed, M Sabadello - … .): Self-Sovereign Identity: Decentralized …, 2021 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=Nh4uEAAAQBAJ&oi=fnd&pg=PA157&dq=Decentralized+Identifiers+DID+blockchain&ots=aItI3Zejns&sig=1VPXmyz5LSKznvbX52a18V7ikyg,unknown,unknown
Decentralized identifiers (dids) v1. 0,"M Sporny, D Longley, M Sabadello, D Reed…",2022,285,… of a decentralized identifier (DID) The example DID above resolves to a DID document. A … This section defines the terms used in this specification and throughout decentralized identifier …,0LrAj93AfNgJ,"M Sporny, D Longley, M Sabadello, D Reed… - W3C …, 2022 - nvo987.us",[],https://nvo987.us/documents/did1.1.pdf,unknown,unknown
Decentralized identifiers (dids) v1. 0,"D Reed, M Sporny, D Longley, C Allen, R Grant…",2020,280,"… they trust (eg, blockchain, distributed ledger, decentralized file system, distributed database, peer-topeer network). The specification for a specific type of DID is called a DID method. …",q_-xg61la30J,"D Reed, M Sporny, D Longley, C Allen, R Grant… - Draft Community Group …, 2020 - ossbig.at",[],https://www.ossbig.at/wp-content/uploads/2023/05/Decentralized-Identifiers-DIDs-v1.0-w3c.pdf,unknown,unknown
A survey on decentralized identifiers and verifiable credentials,"C Mazzocca, A Acar, S Uluagac…",2025,179,"… The only information stored on the blockchain is the DID Document. Transaction details, such as cost and the amount of energy exchanged, are securely recorded through VCs. DIDs …",CHOsLWOO0VAJ,"C Mazzocca, A Acar, S Uluagac… - … Surveys & Tutorials, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10891701/,unknown,unknown
Decentralized identity: Where did it come from and where is it going?,"O Avellaneda, A Bachmann, A Barbir…",2019,165,"… Group, where she drives decentralized identity standards and prototype development. … DID (Decentralized Identifier) method BTCR (Bitcoin Reference), based on the Bitcoin blockchain. …",M4jscWKHhIsJ,"O Avellaneda, A Bachmann, A Barbir… - IEEE …, 2019 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9031542/,unknown,unknown
Distributed-ledger-based authentication with decentralized identifiers and verifiable credentials,"ZA Lux, D Thatmann, S Zickau…",2020,136,"… information on SSI, decentralized identifiers, and verifiable contracts in Section … Decentralized Identifier (DID) [8] provides a verifiable and decentralized means for interacting with a DID …",-I9_eI6P9P8J,"ZA Lux, D Thatmann, S Zickau… - … on Blockchain …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9223292/,unknown,unknown
Did and vc: Untangling decentralized identifiers and verifiable credentials for the web of trust,"C Brunner, U Gallersdörfer, F Knirsch, D Engel…",2020,107,"… However, there are some limitations of decentralized identifiers in comparison to established… of decentralized identifiers. The paper summarizes the involved workflows for decentralized …",l2Qsq-G2IgoJ,"C Brunner, U Gallersdörfer, F Knirsch, D Engel… - … on blockchain …, 2020 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3446983.3446992,unknown,unknown
Methods for decentralized identities: Evaluation and insights,"W Fdhila, N Stifter, K Kostal, C Saglam…",2021,42,"… DID methods that rely on different architectural designs or infrastructures. Therefore, developing a use case that employs decentralized identifiers … the Bitcoin blockchain would be: \(did:…",vjcFvgD0Gd8J,"W Fdhila, N Stifter, K Kostal, C Saglam… - … Conference on Business …, 2021 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-85867-4_9,unknown,unknown
