title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Smart contracts: Legal agreements for the blockchain,R O'Shields,2017,266,"… , blockchain, and smart contracts-these are terms that one hears with increasing frequency in the banking and financial press. The blockchain … origins of smart contracts and blockchain, …",FZZgrnbKHsoJ,"R O'Shields - NC Banking Inst., 2017 - HeinOnline",[],https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/ncbj21&section=12,unknown,unknown
"Legal tech, smart contracts and blockchain","M Corrales, M Fenwick, H Haapio",2019,135,"… with regard to Smart Contracts, Blockchain and Legal Tech and Design. … to the legal community—particularly, legal scholars, law … or contract law who are interested in an up-to-date …",o_HAvFuXyyAJ,"M Corrales, M Fenwick, H Haapio - 2019 - Springer",[],https://link.springer.com/content/pdf/10.1007/978-981-13-6086-2.pdf,unknown,unknown
Smart contracts: Legal considerations,"J Gilcrest, A Carvalho",2018,79,"… legal status of smart contracts and blockchains. Given this foundation, we consider the next steps that should be taken as smart contracts … regulatory barriers to smart contract adoption, …",f_cChF3yatYJ,"J Gilcrest, A Carvalho - … conference on big data (big data), 2018 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8622584/,unknown,unknown
"On legal contracts, imperative and declarative smart contracts, and blockchain systems","G Governatori, F Idelberger, Z Milosevic…",2018,367,"… legal contracts and smart contracts. It investigates the legal and technical issues relative to the use of smart … paper, we investigate smart contracts in the eyes of the law, and with respect …",7GN8j476498J,"G Governatori, F Idelberger, Z Milosevic… - … Intelligence and Law, 2018 - Springer",[],https://link.springer.com/article/10.1007/s10506-018-9223-3,unknown,unknown
Legal engineering on the blockchain:'Smart contracts' as legal conduct,"J Goldenfein, A Leiter",2018,128,… ’ are automated software agents hosted on blockchains that are capable of autonomously … between blockchain addresses. A new class of legal engineers is now writing smart contracts …,97Rb9atMhnAJ,"J Goldenfein, A Leiter - Law and Critique, 2018 - Springer",[],https://link.springer.com/article/10.1007/s10978-018-9224-0,unknown,unknown
The formation of blockchain-based smart contracts in the light of contract law,"M Durovic, A Janssen",2018,108,"… Hence, we will discuss whether a smart contract conforms with the common law requirements for formation of a valid and legally binding contract. However, we will also take the Acquis …",tvHxjK0RMFsJ,"M Durovic, A Janssen - European Review of Private Law, 2018 - kluwerlawonline.com",[],https://kluwerlawonline.com/journalarticle/European+Review+of+Private+Law/26.6/ERPL2018053,unknown,unknown
A legal analysis of the use of blockchain technology for the formation of smart legal contracts,"G Finocchiaro, C Bomprezzi",2020,31,… at putting in correlation contract requirements with blockchain-based smart contracts. The … the rules on contract formation to make blockchain-based smart contracts fit into contract law. It …,QHMoCpaNxxEJ,"G Finocchiaro, C Bomprezzi - Media Laws, 2020 - cris.unibo.it",[],https://cris.unibo.it/handle/11585/773764,unknown,unknown
"Book-smart, not street-smart: blockchain-based smart contracts and the social workings of law",KEC Levy,2017,245,… of legal rules and agreements more consistent and efficient. Though smart contracts may serve … This is because smart contract boosters tend to understand contracts chiefly as technical …,W6r8ENXF2cgJ,"KEC Levy - Engaging Science, Technology, and Society, 2017 - estsjournal.org",[],https://estsjournal.org/article/view/107,unknown,unknown
Legal aspects and emerging risks in the use of smart contracts based on blockchain,"Y Mezquita, D Valdeolmillos…",2019,71,… of the contract. This article will review existing applications and reviews the main vulnerabilities of Smart Contracts deployed within Blockchain Technologies. It also reviews the legal …,3vnl0g3Z1Z0J,"Y Mezquita, D Valdeolmillos… - International Conference …, 2019 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-21451-7_45,unknown,unknown
Blockchain challenges traditional contract law: Just how smart are smart contracts,MN Temte,2019,102,… legal qualities of blockchain smart contracts and their corresponding challenges. 10 Part II provides a brief background on blockchain … Part III discusses the evolution of smart contracts …,xDTg58TxO4UJ,"MN Temte - Wyo. L. Rev., 2019 - HeinOnline",[],https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/wylr19&section=7,unknown,unknown
