title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Data integrity audit scheme based on quad merkle tree and blockchain,"Z Liu, L Ren, Y Feng, S Wang, J Wei",2023,53,"… a data integrity auditing scheme based on a quad Merkle hash tree and blockchain, aiming to … 1) In this paper, we design a blockchain-based auditing scheme that uses blockchain …",nWcJ029fMbUJ,"Z Liu, L Ren, Y Feng, S Wang, J Wei - IEEE Access, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10026265/,unknown,unknown
Merkle trees in blockchain: A study of collision probability and security implications,"O Kuznetsov, A Rusnak, A Yezhov, K Kuznetsova…",2024,55,"… landscape of blockchain technology, ensuring the integrity and … aspects of Merkle Trees, a fundamental component in blockchain … the susceptibility of Merkle Trees to hash collisions, a …",TKBiVGA2sWwJ,"O Kuznetsov, A Rusnak, A Yezhov, K Kuznetsova… - Internet of Things, 2024 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2542660524001343,unknown,unknown
Blockchain based data integrity verification for cloud storage with T-merkle tree,"K He, J Shi, C Huang, X Hu",2020,34,… Existing schemes are mostly limited to scalability barrier and search efficiency of blockchain… blockchain based integrity verification scheme for large-scale cloud data using T-Merkle Tree…,_h1XtZ67KYMJ,"K He, J Shi, C Huang, X Hu - … on Algorithms and Architectures for Parallel …, 2020 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-60248-2_5,unknown,unknown
Merkle-tree based approach for ensuring integrity of electronic medical records,"B Sharma, CN Sekharan, F Zuo",2018,28,… blockchain. We loop through each file containing all the Merkle root hash for each Merkle tree from the blockchain … It checks if the Merkle root hash is the same as the newly formed hash …,gegdHMdOidkJ,"B Sharma, CN Sekharan, F Zuo - 2018 9th IEEE Annual …, 2018 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8796607/,unknown,unknown
Enabling Decentralized and Dynamic Data Integrity Verification for Secure Cloud Storage via T‐Merkle Hash Tree Based Blockchain,"K He, C Huang, J Shi, X Hu…",2021,17,"… a blockchain-based dynamic data integrity verification scheme for cloud storage with T-Merkle hash tree. … , we build the blockchain body through the improved Merkle hash tree called T-…",sdBiNhWBgP8J,"K He, C Huang, J Shi, X Hu… - Mobile Information Systems, 2021 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1155/2021/9977744,unknown,unknown
Blockchain-based dynamic cloud data integrity auditing via non-leaf node sampling of rank-based Merkle hash tree,"C Wang, Y Sun, B Liu, L Xue…",2024,23,… Blockchain-based framework for dynamic data integrity verification. Our framework replaces a centralized TPA with a consortium Blockchain … Rank-based Merkle Hash Tree. We improve …,oATR1gVwqLoJ,"C Wang, Y Sun, B Liu, L Xue… - IEEE Transactions on …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10509016/,unknown,unknown
Evaluating the security of Merkle trees: An analysis of data falsification probabilities,"O Kuznetsov, A Rusnak, A Yezhov, K Kuznetsova…",2024,16,"… crucial insights into optimizing Merkle Tree structures for bolstering security in blockchain and IoT systems, achieving a balance between computational efficiency and data integrity. …",fZBdvo5svQwJ,"O Kuznetsov, A Rusnak, A Yezhov, K Kuznetsova… - Cryptography, 2024 - mdpi.com",[],https://www.mdpi.com/2410-387x/8/3/33,unknown,unknown
Review and investigation of merkle tree's technical principles and related application fields,"S Jing, X Zheng, Z Chen",2021,40,… The combination of Merkle Tree in blockchain mechanism and image recognition … Merkel tree is used to test hardware memory integrity. It is crucial to protect hardware memory integrity …,y_W7goFUscgJ,"S Jing, X Zheng, Z Chen - 2021 International Conference on …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9545917/,unknown,unknown
Blockchain-Based Data Integrity Verification,"Z Han, X Xie, X Du, Y Du, X He",2024,2,… Blockchain technology offers a new approach to solving this problem. This … data integrity verification framework based on blockchain. The scheme employs Merkle tree and Interval Tree …,LpYrgvnjCIQJ,"Z Han, X Xie, X Du, Y Du, X He - … Conference on Blockchain …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10805414/,unknown,unknown
Blockchain-based verification framework for data integrity in edge-cloud storage,"D Yue, R Li, Y Zhang, W Tian, Y Huang",2020,82,… a blockchain-based framework without TPA for data integrity verification in a … Merkle tree with random challenging numbers for data integrity verification and analyze different Merkle tree …,OnDAhYWrSxAJ,"D Yue, R Li, Y Zhang, W Tian, Y Huang - Journal of Parallel and Distributed …, 2020 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0743731520303142,unknown,unknown
