title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
FIDOnuous: a FIDO2/WebAuthn extension to support continuous web authentication,"E Klieme, J Wilke, N van Dornick…",2020,28,… FIDO and FIDO2/WebAuthn a very promising approach was presented in the last years that may replace passwords at some time since it also enables password-less authentication in …,aVoBH4K5VKQJ,"E Klieme, J Wilke, N van Dornick… - 2020 IEEE 19th …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9343231/,unknown,unknown
"FIDO2, CTAP 2.1, and WebAuthn 2: Provable security and post-quantum instantiation","N Bindel, C Cremers, M Zhao",2023,47,"… analysis of FIDO2 with the CTAP 2.1 and WebAuthn 2 sub-… . for their analysis of FIDO2 with CTAP 2.0 and WebAuthn 1, which … We say that the secure passwordless authentication for an …",3Id45JzG2gYJ,"N Bindel, C Cremers, M Zhao - 2023 IEEE Symposium on …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10179454/,unknown,unknown
Moving forward passwordless authentication: challenges and implementations for the private cloud,"I Gordin, A Graur, S Vlad…",2021,20,"… FIDO2/WebAuthn provides strong authentication that is resistant … passwordless authentication through their web interface. In this article, we present our experience with deploying FIDO2 …",dJr8v8BKev4J,"I Gordin, A Graur, S Vlad… - 2021 20th RoEduNet …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9638271/,unknown,unknown
Is FIDO2 passwordless authentication a hype or for real?: A position paper,"K Bicakci, Y Uzunay",2022,24,"… to latest FIDO2 WebAuthn … for FIDO2 passwordless authentication [17]. In an enterprise setting, we would expect a lot of helpdesk calls; not for password reset but for passwordless reset …",dUGVOjacxJkJ,"K Bicakci, Y Uzunay - 2022 15th international conference on …, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9931832/,unknown,unknown
Is FIDO2 the kingslayer of user authentication? A comparative usability study of FIDO2 passwordless authentication,"SG Lyastani, M Schilling, M Neumayr…",2020,244,"… WebAuthn relying parties (eg, website) to authenticate users via CTAP2 or backwards-compatible via U2F (now considered CTAP1) through a WebAuthn … between a WebAuthn client (…",VPm0803dP1QJ,"SG Lyastani, M Schilling, M Neumayr… - … IEEE Symposium on …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9152694/,unknown,unknown
Why aren't we using passkeys? Obstacles companies face deploying {FIDO2} passwordless authentication,"L Lassak, E Pan, B Ur, M Golla",2024,65,"… of developers implementing WebAuthn by analyzing discussions … WebAuthn, and confusing technical details in the FIDO2 spec… challenges using FIDO2 as passwordless authentication, …",zGkJwhGLBPEJ,"L Lassak, E Pan, B Ur, M Golla - 33rd USENIX Security Symposium …, 2024 - usenix.org",[],https://www.usenix.org/conference/usenixsecurity24/presentation/lassak,unknown,unknown
Semantic approach to designing applications with passwordless authentication according to the FIDO2 specification,"A Zhidovich, A Lubenko, I Vojteshenko…",2023,6,"… the FIDO2 specification-based passwordless authentication … of applications with passwordless authentication, as well as … WebAuthn key, it can be used in passwordless authentication…",cAmmI-83UqYJ,"A Zhidovich, A Lubenko, I Vojteshenko… - 2023 - libeldoc.bsuir.by",[],https://libeldoc.bsuir.by/handle/123456789/51307,unknown,unknown
FIDO2 passwordless authentication for remote devices,"SA Dixit, A Gupta, R Jain, R Joshi, S Gonge…",2023,5,"… for remote WebAuthn authentication using QR and … to passwordless mechanisms. We have studied and implemented Remote WebAuthn, a brand-new FIDO2-related authentication …",fX6LYeiJsPUJ,"SA Dixit, A Gupta, R Jain, R Joshi, S Gonge… - Computer Science On …, 2023 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-35317-8_32,unknown,unknown
Study and Analysis of FIDO2 Passwordless Web Authentication,"H Ravilla, R Sayal, P Kulkarni",2023,4,… Address FIDO2 accessibility for devices with limited interfaces like IoT systems. They propose “Remote WebAuthn” to enable passwordless authentication on these devices via alternate …,Vutom0hP-ikJ,"H Ravilla, R Sayal, P Kulkarni - International Conference on Advances in …, 2023 - Springer",[],https://link.springer.com/chapter/10.1007/978-981-97-4727-6_38,unknown,unknown
Should we rush to implement password-less single factor FIDO2 based authentication?,"F Alqubaisi, AS Wazan, L Ahmad…",2020,42,… reluctant to adopt password-less FIDO SF authentication. We start by comparing the threat models of password-less FIDO SF authentication with password-based SF authentication. Our …,R6ejLsQmsqEJ,"F Alqubaisi, AS Wazan, L Ahmad… - 2020 12th annual …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9099190/,unknown,unknown
