#,Log,Operator,Type,MMD,State,Window Start,Window End
1,Elephant2027h1,Sectigo,RFC6962,1440m,usable,2027-01-01,2027-07-01
2,Tiger2027h1,Sectigo,RFC6962,1440m,usable,2027-01-01,2027-07-01
3,Tuscolo2027h1,Geomys,Sunlight,1m,usable,2027-01-01,2027-07-01
4,Nimbus2027,Cloudflare,RFC6962,1440m,usable,2027-01-01,2028-01-01
5,Sycamore2027h1,Let's Encrypt,Sunlight,1m,usable,2026-12-17,2027-06-18
6,Willow2027h1,Let's Encrypt,Sunlight,1m,usable,2026-12-16,2027-06-17
7,Gouda2027h1,IPng Networks,Sunlight,1m,usable,2027-01-01,2027-07-01
8,Argon2027h1,Google,RFC6962,1440m,usable,2027-01-01,2027-07-01
9,Xenon2027h1,Google,RFC6962,1440m,usable,2027-01-01,2027-07-01
10,Wyvern2027h1,DigiCert,RFC6962,1440m,usable,2027-01-01,2027-07-01
11,sphinx2027h1,DigiCert,RFC6962,1440m,usable,2027-01-01,2027-07-01
12,HETU2027,TrustAsia,RFC6962,1440m,usable,2026-12-25,2028-01-08
13,Halloumi2027h1,IPng Networks,Sunlight,1m,usable,2027-01-01,2027-07-01
14,log2026a,TrustAsia,RFC6962,1440m,usable,2025-12-24,2027-01-08
