id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2604.16092v1,Toward EU Sovereignty in Space: A Comparative Simulation Study of IRIS 2 and Starlink,"['Alexander Bonora', 'Marco Giordani', 'Michele Zorzi']","The evolution of 6th generation (6G) networks increasingly relies on satellite-based Non-Terrestrial Networks (NTNs) to extend broadband connectivity to remote and unserved regions, and to support public safety. In this paper we compare two representative and conceptually different satellite constellation architectures, namely Starlink and IRIS 2. Starlink is a commercial private Internet constellation by SpaceX, based on dense Low Earth Orbit (LEO) satellites. It is primarily designed to deliver high-capacity broadband services for civil applications, with performance targets comparable to those of terrestrial networks. In contrast, IRIS 2 is a planned public initiative to be deployed by the European Union, based on a multi-layer combination of LEO, Medium Earth Orbit (MEO), and Geo-stationary Earth Orbit (GEO) satellites. It is primarily designed to provide a secure, resilient, and sovereign infrastructure for government and critical communications. After describing the main technical characteristics of Starlink and IRIS 2, we run a comprehensive simulation campaign to evaluate the design tradeoffs between the two. Specifically, we evaluate the per-cell and per-user achievable capacity, the impact of satellite mobility and handover, and identify the capability of each architecture to support global and reliable connectivity. We also provide design suggestions for possible future IRIS 2 deployment extensions.",['cs.NI'],2026-04-17T14:21:41+00:00,https://arxiv.org/pdf/2604.16092v1,arxiv://2604.16092v1,1,20
2604.03897v1,Latency-Aware Resource Allocation over Heterogeneous Networks: A Lorentz-Invariant Market Mechanism,['Saad Alqithami'],"We present a telecom-native auction mechanism for allocating bandwidth and time slots across heterogeneous-delay networks, ranging from low-Earth-orbit (LEO) satellite constellations to delay-tolerant deep-space relays. The Lorentz-Invariant Auction (LIA) treats bids as spacetime events and reweights reported values based on the \emph{horizon slack}, a causal quantity derived from the earliest-arrival times relative to a public clearing horizon. Unlike other delay-equalization rules, LIA combines a causal-ordering formulation, a uniquely exponential slack correction implied by a semigroup-style invariance axiom, and a critical-value implementation that ensures truthful reported values once slacks are fixed by trusted infrastructure. We analyze the incentive result in the exogenous-slack regime and separately examine bounded slack-estimation error and endogenous-delay limitations. Under fixed feasible slacks, LIA is individually rational and achieves welfare at least \(e^{-λΔ}\) relative to the optimal feasible allocation, where \(Δ\) is the slack spread. We evaluate LIA on STARLINK-200, INTERNET-100, and DSN-30 across 52,500 baseline instances with market sizes \(n\in\{10,20,30,40,50\}\) and conduct additional robustness sweeps. On Starlink and Internet, LIA maintains near-efficiency while eliminating measured timing rents. However, on DSN, welfare is lower in thin markets but improves with depth. We also distinguish winner-determination time from the background cost of maintaining slack estimates and study robustness beyond independent and identically distributed (iid) noise through error-spread bounds and structured (distance-biased and subnetwork-correlated) noise models. These results suggest that causal-consistent mechanism design offers a practical non-buffering alternative to synchronized delay equalization in heterogeneous telecom infrastructures.","['cs.GT', 'cs.AI', 'cs.NI']",2026-04-04T23:48:19+00:00,https://arxiv.org/pdf/2604.03897v1,arxiv://2604.03897v1,2,20
2603.29506v2,Hierarchical Battery-Aware Game Algorithm for ISL Power Allocation in LEO Mega-Constellations,"['Kangkang Sun', 'Jianhua Li', 'Xiuzhen Chen', 'Jianyong Zheng', 'Minyi Guo']","Sustaining high inter-satellite link (ISL) throughput under intermittent solar harvesting is a fundamental challenge for LEO mega-constellations. Existing works impose static power ceilings that ignore real-time battery state and comprehensive onboard power budgets, causing eclipse-period energy crises. Learning-based approaches capture battery dynamics but lack equilibrium guarantees and do not scale beyond small constellations. We propose the \textbf{Hierarchical Battery-Aware Game (HBAG)} algorithm, a unified game-theoretic framework for ISL power allocation that operates identically across finite and mega-constellation regimes. For finite constellations, HBAG converges to a unique variational equilibrium; as constellation size grows, the same distributed update rule converges to the Mean Field Game (MFG) equilibrium without algorithm redesign. Comprehensive experiments on Starlink Shell~A ($M=172$, $θ=0.38$) show that HBAG achieves \textbf{100\% energy sustainability rate} (ESR) in all 10 independent runs, representing a \textbf{+87.4\%} gain over the traditional static-power baseline (SATFLOW-L, ESR\,=\,12.6\%). At the same time, HBAG reduces the flow violation ratio by \textbf{78.3\%} to 7.62\% (below the 10\% industry tolerance). HBAG further maintains ESR $\geq 93.4\%$ across eclipse fractions $θ\in [0,\,0.6]$ and scales linearly to 5{,}000 satellites with less than 75\,ms per-slot runtime, confirming deployment feasibility at full Starlink scale.",['cs.GT'],2026-03-31T09:47:13+00:00,https://arxiv.org/pdf/2603.29506v2,arxiv://2603.29506v2,3,20
2603.25835v1,"Starlink Constellation: Deployment, Configuration, and Dynamics","['Muaz Ali', 'Utkarsh Upadhyay', 'Sean McCormick', 'Joseph Hill', 'Beichuan Zhang']","Starlink has rapidly emerged as the world's largest satellite constellation and the de facto reference system for low Earth orbit (LEO) networking research. Existing literature predominantly models Starlink as a static, symmetric, and fully deployed structure with uniformly distributed satellites. However, we reveal that Starlink's actual deployment, orbital configurations, and operational dynamics fundamentally deviate from these idealized assumptions.
  Leveraging satellite observation data spanning 2019 to 2025, we demonstrate that the constellation is highly dynamic across multiple temporal and spatial scales. Macroscopically, Starlink comprises multiple orbital shells undergoing continuous active deployment and reconfiguration. Microscopically, individual satellites exhibit high mobility, frequently executing collision-avoidance maneuvers, altitude adjustments, and intra-orbital relocations. We discover that while the majority of satellites form a relatively stable structure with near-uniform spacing, other satellites tend to cluster as twins or triads as in-orbit backups. Furthermore, empirical survival analysis indicates an operational lifespan of 4-6 years and an average daily failure probability of 0.0128%.
  Ultimately, our data-driven characterization exposes Starlink as a highly heterogeneous and continuously evolving network. We provide critical empirical insights that challenge prevailing simulation models, offering a more accurate foundation for future LEO topology design, routing protocols, and performance evaluations.",['cs.NI'],2026-03-26T18:59:13+00:00,https://arxiv.org/pdf/2603.25835v1,arxiv://2603.25835v1,4,20
2603.01334v2,Energy Efficient Traffic Scheduling For Optical LEO Satellite Downlinks,"['Ethan Fettes', 'Pablo G. Madoery', 'Halim Yanikomeroglu', 'Gunes Karabulut Kurt', 'Abhishek Naik', 'Stéphane Martel']","In recent years, the number of satellites in orbit has increased rapidly, with megaconstellations like Starlink providing near-global, delay-sensitive communication services. However, not all satellite communication use cases have stringent delay requirements; services such as Earth observation (EO) and remote Internet of Things (IoT) fall into this category. These relaxed delay quality of service (QoS) objectives allow services to be delivered using sparse constellations, enabled by delay-tolerant networking protocols. In the context of rapidly growing data volumes that must be delivered through satellite networks, a key challenge is having sufficient space-to-ground link capacity. This has led to proposals for using free-space optical (FSO) communications, which offer high data rates. However, FSO communications are highly vulnerable to weather-related disruptions. This results in certain communication opportunities being energy inefficient. Given the energy-constrained nature of satellites, developing schemes to improve energy efficiency is highly desirable. In this work, both static and adaptive schemes were developed to balance maintaining the delivery ratio and maximizing energy efficiency. The proposed schemes fall into the following categories: threshold schemes, heuristic sorting algorithms, and reinforcement learning-based schemes. The schemes were evaluated under a variety of different data volumes and cloud cover distribution configurations as well as a case study using historical weather data. It was found that static schemes suffered from low delivery ratio performance under dynamic conditions when compared to adaptive techniques. However, this performance improvement came at the cost of increased complexity and onboard computations.",['cs.NI'],2026-03-02T00:18:53+00:00,https://arxiv.org/pdf/2603.01334v2,arxiv://2603.01334v2,5,20
2602.07756v1,LEO Topology Design Under Real-World Deployment Constraints,"['Muaz Ali', 'Beichuan Zhang']","The performance of large-scale Low-Earth-Orbit (LEO) networks, which consist of thousands of satellites interconnected by optical links, is dependent on its network topology. Existing topology designs often assume idealized conditions and do not account for real-world deployment dynamics, such as partial constellation deployment, daily node turnovers, and varying link availability, making them inapplicable to real LEO networks. In this paper, we develop two topology design methods that explicitly operate under real-world deployment constraints: the Long--Short Links (LSL) method, which systematically combines long-distance shortcut links with short-distance local links, and the Simulated Annealing (SA) method, which constructs topologies via stochastic optimization. Evaluated under both full deployment and partial deployment scenarios using 3-months of Starlink data, our methods achieve up to 45% lower average end-to-end delay, 65% fewer hops, and up to $2.3\times$ higher network capacity compared to +Grid. Both methods are designed to handle daily node turnovers by incrementally updating the topology, maintaining good network performance while avoiding costly full reconstruction of the topology.",['cs.NI'],2026-02-08T01:27:07+00:00,https://arxiv.org/pdf/2602.07756v1,arxiv://2602.07756v1,6,20
2602.06612v2,"HYDRA: Unearthing ""Black Swan"" Vulnerabilities in LEO Satellite Networks","['Bintao Yuan', 'Mingsheng Tang', 'Binbin Ge', 'Hongbin Luo', 'Zijie Yan']","As Low Earth Orbit (LEO) become mega-constellations critical infrastructure, attacks targeting them have grown in number and range. The security analysis of LEO constellations faces a fundamental paradigm gap: traditional topology-centric methods fail to capture systemic risks arising from dynamic load imbalances and high-order dependencies, which can transform localized failures into network-wide cascades. To address this, we propose HYDRA, a hypergraph-based dynamic risk analysis framework. Its core is a novel metric, Hyper-Bridge Centrality (HBC), which quantifies node criticality via a load-to-redundancy ratio within dependency structures. A primary challenge to resilience: the most critical vulnerabilities are not in the densely connected satellite core, but in the seemingly marginal ground-space interfaces. These are the system's ""Black Swan"" nodes--topologically peripheral yet structurally lethal. We validate this through extensive simulations using realistic StarLink TLE data and population-based gravity model. Experiments demonstrate that HBC consistently outperforms traditional metrics, identifying critical failure points that surpass the structural damage potential of even betweenness centrality. This work shifts the security paradigm from connectivity to structural stress, demonstrating that securing the network edge is paramount and necessitates a fundamental redesign of redundancy strategies.",['cs.CR'],2026-02-06T11:14:53+00:00,https://arxiv.org/pdf/2602.06612v2,arxiv://2602.06612v2,7,20
2601.21921v1,Duality-Guided Graph Learning for Real-Time Joint Connectivity and Routing in LEO Mega-Constellations,"['Zhouyou Gu', 'Jinho Choi', 'Tony Q. S. Quek', 'Jihong Park']","Laser inter-satellite links (LISLs) of low Earth orbit (LEO) mega-constellations enable high-capacity backbone connectivity in non-terrestrial networks, but their management is challenged by limited laser communication terminals, mechanical pointing constraints, and rapidly time-varying network topologies. This paper studies the joint problem of LISL connection establishment, traffic routing, and flow-rate allocation under heterogeneous global traffic demand and gateway availability. We formulate the problem as a mixed-integer optimization over large-scale, time-varying constellation graphs and develop a Lagrangian dual decomposition that interprets per-link dual variables as congestion prices coordinating connectivity and routing decisions. To overcome the prohibitive latency of iterative dual updates, we propose DeepLaDu, a Lagrangian duality-guided deep learning framework that trains a graph neural network (GNN) to directly infer per-link (edge-level) congestion prices from the constellation state in a single forward pass. We enable scalable and stable training using a subgradient-based edge-level loss in DeepLaDu. We analyze the convergence and computational complexity of the proposed approach and evaluate it using realistic Starlink-like constellations with optical and traffic constraints. Simulation results show that DeepLaDu achieves up to 20\% higher network throughput than non-joint or heuristic baselines, while matching the performance of iterative dual optimization with orders-of-magnitude lower computation time, suitable for real-time operation in dynamic LEO networks.",['eess.SP'],2026-01-29T16:13:50+00:00,https://arxiv.org/pdf/2601.21921v1,arxiv://2601.21921v1,8,20
2601.15557v3,Distributed Uplink Anti-Jamming in LEO Mega-Constellations via Game-Theoretic Beamforming,"['Shizhen Jia', 'Mingjun Ying', 'Marco Mezzavilla', 'Theodore S. Rappaport', 'Sundeep Rangan']","Low-Earth-Orbit (LEO) satellite constellations have become vital in emerging commercial and defense Non-Terrestrial Networks (NTNs). However, their predictable orbital dynamics and exposed geometries make them highly susceptible to ground-based jamming. Traditional single-satellite interference mitigation techniques struggle to spatially separate desired uplink signals from nearby jammers, even with large antenna arrays. This paper explores a distributed multi-satellite anti-jamming strategy leveraging the dense connectivity and high-speed inter-satellite links of modern LEO mega-constellations. We model the uplink interference scenario as a convex-concave game between a desired terrestrial transmitter and a jammer, each optimizing their spatial covariance matrices to maximize or minimize achievable rate. We propose an efficient min-max solver combining alternating best-response updates with projected gradient descent, achieving fast convergence of the beamforming strategy to the Nash equilibrium. Using realistic Starlink orbital geometries and Sionna ray-tracing simulations, we demonstrate that while close-proximity jammers can cripple single-satellite links, distributed satellite cooperation significantly enhances resilience, shifting the capacity distribution upward under strong interference.",['eess.SP'],2026-01-22T00:55:46+00:00,https://arxiv.org/pdf/2601.15557v3,arxiv://2601.15557v3,9,20
2601.10083v1,Starfield: Demand-Aware Satellite Topology Design for Low-Earth Orbit Mega Constellations,"['Shayan Hamidi Dehshali', 'Tzu-Hsuan Liao', 'Shaileshh Bojja Venkatakrishnan']","Low-Earth orbit (LEO) mega-constellations are emerging as high-capacity backbones for next-generation Internet. Deployment of laser terminals enables high-bandwidth, low-latency inter-satellite links (ISLs); however, their limited number, slow acquisition, and instability make forming a stable satellite topology difficult. Existing patterns like +Grid and Motif ignore regional traffic, ground station placement, and constellation geometry. Given sparse population distribution on Earth and the isolation of rural areas, traffic patterns are inherently non-uniform, providing an opportunity to orient inter-satellite links (ISLs) according to these traffic patterns. In this paper, we propose Starfield, a novel demand-aware satellite topology design heuristic algorithm supported by mathematical analysis. We first formulate a vector field on the constellation's shell according to traffic flows and define a corresponding Riemannian metric on the spherical manifold of the shell. The metric, combined with the spatial geometry, is used to assign a distance to each potential ISL, which we then aggregate over all demand flows to generate a heuristic for each satellite's link selection. Inspired by +Grid, each satellite selects the link with the minimum Riemannian heuristic along with its corresponding angular links. To evaluate Starfield, we developed a custom, link-aware, and link-configurable packet-level simulator, comparing it against +Grid and Random topologies. For the Phase 1 Starlink, simulation results show up to a 30% reduction in hop count and a 15% improvement in stretch factor across multiple traffic distributions. Moreover, static Starfield, an inter-orbital link matching modification of Starfield, achieves a 20% improvement in stretch factor under realistic traffic patterns compared to +Grid. Experiments further demonstrate Starfield's robustness under traffic demand perturbations.","['cs.NI', 'cs.ET', 'math.DG']",2026-01-15T05:15:44+00:00,https://arxiv.org/pdf/2601.10083v1,arxiv://2601.10083v1,10,20
