title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Runtime security monitoring with ebpf,"G Fournier, S Afchain, S Baubeau",2021,26,"… Although containers are a particularly interesting use case for the … Similarly, container escape IOCs necessarily require the … eBPF can drastically improve the detection capabilities of a …",Tqe8POcxCeUJ,"G Fournier, S Afchain, S Baubeau - 17th SSTIC Symposium sur la Sécurité …, 2021 - sstic.org",[],https://www.sstic.org/media/SSTIC2021/SSTIC-actes/runtime_security_with_ebpf/SSTIC2021-Article-runtime_security_with_ebpf-fournier_afchain_baubeau.pdf,unknown,unknown
eBPF-Guard: a detection method for container escape via multi-level monitoring and enhanced analysis model,"X Lin, Z Chen, W Yang, X Yang, J Luo…",2026,1,"… deployment, container runtime security is paramount: … container escape detection solution combining eBPF-based dynamic behavioral probing and LLM-driven anomaly identification. …",OuN1QF-wAI8J,"X Lin, Z Chen, W Yang, X Yang, J Luo… - Empirical Software …, 2026 - Springer",[],https://link.springer.com/article/10.1007/s10664-025-10784-1,unknown,unknown
AI-Enhanced Runtime Security for Kubernetes: Real-time Threat Detection with eBPF Telemetry and Ensemble Learning,H Mistry,2025,0,"… ML) solutions into cloud-native security systems has emerged as an intriguing option for … detected by an individual feature, such as a sequence of syscalls to indicate a container escape …",Ypw37Tnz_zAJ,"H Mistry - Asian Journal of Research in Computer Science, 2025 - researchgate.net",[],https://www.researchgate.net/profile/Hirenkumar-Mistry/publication/395702190_AI-Enhanced_Runtime_Security_for_Kubernetes_Real-time_Threat_Detection_with_eBPF_Telemetry_and_Ensemble_Learning/links/69a872b2ceb31f79ab23539f/AI-Enhanced-Runtime-Security-for-Kubernetes-Real-time-Threat-Detection-with-eBPF-Telemetry-and-Ensemble-Learning.pdf,unknown,unknown
Hybrid Runtime Detection of Malicious Containers Using eBPF.,"J Ryu, R Kim, S Lee, S Kim, H Choi…",2026,0,"… to exfiltrate sensitive data, escape container environments, or … eBPF-based monitoring approach proposed in this work can be extended to detect various types of malware containers…",8KNqgb8yWigJ,"J Ryu, R Kim, S Lee, S Kim, H Choi… - Computers, Materials & …, 2026 - search.ebscohost.com",[],https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=15462218&AN=190966188&h=2FobNU2utORZRe%2BdRg1AqyzI6KDqi3MzTv%2FSaAO79jSHLpf0bbYexfuEtQbImcj0bzfN0Z46Rs6bxH6CRErVSA%3D%3D&crl=c,unknown,unknown
eBPF based Runtime Detection of Semantic DDoS Attacks in Linux Containers,"S Remya, MJ Pillai, B Niranjan, PMA Kumar…",2025,2,"… eBPF enables kernel-level monitoring with minimal performance overhead while maintaining the security and … proposed eBPF-based container escape detection with 95% accuracy, but …",CMBl8tvk3ZAJ,"S Remya, MJ Pillai, B Niranjan, PMA Kumar… - IEEE …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11179973/,unknown,unknown
Detecting cryptojacking containers using eBPF-based security runtime and machine learning,"R Kim, J Ryu, S Kim, S Lee, S Kim",2025,13,"… By utilizing it, our framework integrates container behavior monitoring with ML-based cryptojacking detection, enabling runtime security analysis in Kubernetes environments. To …",wbEuJ3z5j74J,"R Kim, J Ryu, S Kim, S Lee, S Kim - Electronics, 2025 - mdpi.com",[],https://www.mdpi.com/2079-9292/14/6/1208,unknown,unknown
Container Instrumentation and Enforcement System for Runtime Security of Kubernetes Platform with eBPF.,"S Gwak, TP Doan, S Jung",2023,16,"… This analysis is performed until the end of all callee functions in a system call. The list of system … monitoring technology with eBPF is already mature, we choose to set up the monitoring …",4A2BIzukKPkJ,"S Gwak, TP Doan, S Jung - Intelligent Automation & Soft …, 2023 - search.ebscohost.com",[],https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=10798587&AN=164642663&h=s3iZ0CAjcS9mReG%2FC6lv2UmijhmVLgHz%2FcQjpLcPc%2FJ2xz7KZWqK3FFfE9MLlYtj1Wc6byflO5maSd5pEaTBeQ%3D%3D&crl=c,unknown,unknown
Desfam: An adaptive ebpf and ai-driven framework for securing cloud containers in real time,"S Zehra, HJ Syed, F Samad, U Faseeha",2025,4,… profiling through static analysis and dynamic eBPF tracing; 2) … It monitors syscall sequences using eBPF and detects … of container binaries with dynamic runtime tracing using eBPF and …,0IHpLdFhfCoJ,"S Zehra, HJ Syed, F Samad, U Faseeha - IEEE Access, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11095719/,unknown,unknown
Cross container attacks: The bewildered {eBPF} on clouds,"Y He, R Guo, Y Xing, X Che, K Sun, Z Liu…",2023,68,"… management, and security monitoring tools for container, such … eBPF uses a static analysis based verifier to prevent eBPF … host VMs for different container runtimes. The Alpine Linux is …",MhCow-7Fs48J,"Y He, R Guo, Y Xing, X Che, K Sun, Z Liu… - 32nd USENIX Security …, 2023 - usenix.org",[],https://www.usenix.org/conference/usenixsecurity23/presentation/he,unknown,unknown
Container Path Mis-Resolution Escape Detection Method Based on eBPF,"T Zhang, X Liu, B Fan, Y Huang",2025,0,… [11] proposed that eBPF can be used to create a new generation of runtime security tools … oriented virtual-machine-introspection-based security monitor to secure containers in cloud …,i7HN7cVpbq4J,"T Zhang, X Liu, B Fan, Y Huang - 2025 3rd International …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11135821/,unknown,unknown
