title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Preventing IP Spoofing in Kubernetes Using eBPF,"A Hussain, A Aziz, S Hassan…",2025,0,"… This research presents PodCA, an eBPF-based security … show that Cilium outperforms Calico in both intra-node and inter-node … In conclusion, the integration of eBPF in Cilium not only …",qGg6Yy6OtxIJ,"A Hussain, A Aziz, S Hassan… - Computers, Materials, & …, 2025 - researchgate.net",[],https://www.researchgate.net/profile/Hassan-Syed/publication/392451218_Preventing_IP_Spoofing_in_Kubernetes_Using_eBPF/links/684fa7cd7869fe75c5595d50/Preventing-IP-Spoofing-in-Kubernetes-Using-eBPF.pdf,unknown,unknown
Delineating Cilium Core Architecture,DM Ghane,2025,1,"… eBPF and Cilium project emerged from a simple yet ambitious vision: to craft a robust CNI agent tailored for Kubernetes, integrating observability and security … with the node’s Cilium API …",OjA1Irma6goJ,"DM Ghane - Observability Engineering with Cilium: Observability …, 2025 - Springer",[],https://link.springer.com/chapter/10.1007/979-8-8688-1258-3_7,unknown,unknown
An abstract model of cloud-native networks for security enforcement and remediation,G Lisena,2025,0,"… Kubernetes into low-level eBPF programs that are then loaded directly into the Linux kernel on each node… difficult to manage in Kubernetes, Cilium assigns a security identity to each …",K_e3OGo_OOAJ,G Lisena - 2025 - webthesis.biblio.polito.it,[],https://webthesis.biblio.polito.it/35458/,unknown,unknown
Zero Trust Security for microservices in scalable systems,JMJ Silva,2024,0,"… as implicações do Zero Trust nos ecossistemas Kubernetes. … serviço como Istio, Linkerd e Cilium, e ferramentas de segurança … , meaning security liability if one of the eBPF services get …",qeal3aP1wswJ,JMJ Silva - 2024 - recipp.ipp.pt,[],https://recipp.ipp.pt/entities/publication/2cb18176-f6ab-4ac3-bee8-c9852a59b999,unknown,unknown
Process level network security monitoring and enforcement with eBPF,G Fournier,2020,9,"… networking rules (such as Cilium [1] in Kubernetes), most of … node. Relying on a complex mechanism of endpoint identities, … We also wanted to compare our results with Cilium which …",cC2J6tO10Q4J,"G Fournier - Symposium sur la securite des technologies de l' …, 2020 - sstic.org",[],https://www.sstic.org/media/SSTIC2020/SSTIC-actes/process_level_network_security_monitoring_and_enfo/SSTIC2020-Article-process_level_network_security_monitoring_and_enforcement_with_ebpf-fournier_Cuzi8wu.pdf,unknown,unknown
"Accelerating container networking with eBPF: performance characterization, evaluation, and optimization",KC du Perron,2025,0,"… s traditional network stack for inter-node communication. This implementation achieves a P99 … acceleration system on Cilium, a modern eBPF-based networking platform for Kubernetes, …",pu57O28Ot90J,KC du Perron - 2025 - theses.hal.science,[],https://theses.hal.science/tel-05467830/,unknown,unknown
Orchestrating Network Security Borders in the Computing Continuum with Liqo,R Tornesello,2026,0,"… perimeters, not based on nodes as was previously the case. … and security mechanism by creating a dynamic Kubernetes … Interfaces), such as Cilium, use eBPF to completely bypass the …",UwTYUVL0P74J,R Tornesello - 2026 - webthesis.biblio.polito.it,[],https://webthesis.biblio.polito.it/39973/,unknown,unknown
Zero trust security for microservices in scalable systems,JM de Jesus Silva,2024,1,"… as implicações do Zero Trust nos ecossistemas Kubernetes. … serviço como Istio, Linkerd e Cilium, e ferramentas de segurança … , meaning security liability if one of the eBPF services get …",GFocqu-luWMJ,JM de Jesus Silva - 2024 - search.proquest.com,[],https://search.proquest.com/openview/8e0f6a10d7daec3d07a155da64bd816f/1?pq-origsite=gscholar&cbl=2026366&diss=y,unknown,unknown
Enhancing Security in Communication Applications Deployed on Kubernetes: Best Practices and Service Mesh Analysis,B Karakaş,2023,3,"… -factor authentication (MFA) to secure cloud credentials [12]. … at the socket level using eBPF, Cilium shortens the data path, … of a secure Kubernetes cluster using the Cilium service mesh…",vlPwXaOZvNYJ,B Karakaş - 2023 - aaltodoc.aalto.fi,[],https://aaltodoc.aalto.fi/items/bc3f4ba0-7637-4298-993d-fee27c5c8cba,unknown,unknown
Secure and scalable policy management in cloud native networking,G Budigiri,2023,5,"… the cloudnative stack that is based on Kubernetes (K8s), a de-… spread to other nodes by; (1) leveraging host credentials, (2) … We compared Calico eBPF and Cilium eBPF performances …",XNL0-ZAHfF8J,"G Budigiri - Proceedings of the 24th International Middleware …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3626564.3629092,unknown,unknown
