title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Secure inter-container communications using XDP/eBPF,"J Nam, S Lee, P Porras…",2022,31,"… analyzes container networks from a security perspective, discussing the implications based … by addressing a fourth significant aspect of container security enforcement: network security …",95o2Y3xGsm0J,"J Nam, S Lee, P Porras… - … on Networking, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9900301/,unknown,unknown
Container Instrumentation and Enforcement System for Runtime Security of Kubernetes Platform with eBPF.,"S Gwak, TP Doan, S Jung",2023,16,"… security tools in Section 2.2.1. To address container runtime security with enforcement using eBPF … more on networking and network security than on workloads security in runtime, so it …",4A2BIzukKPkJ,"S Gwak, TP Doan, S Jung - Intelligent Automation & Soft …, 2023 - search.ebscohost.com",[],https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=10798587&AN=164642663&h=s3iZ0CAjcS9mReG%2FC6lv2UmijhmVLgHz%2FcQjpLcPc%2FJ2xz7KZWqK3FFfE9MLlYtj1Wc6byflO5maSd5pEaTBeQ%3D%3D&crl=c,unknown,unknown
Process level network security monitoring and enforcement with eBPF,G Fournier,2020,9,"… new containers at runtime and make sure that the right eBPF … detect the network namespace of the newly created container,… eBPF programs, we’ll be able to map packets to containers …",cC2J6tO10Q4J,"G Fournier - … technologies de l'information et des communications, 2020 - sstic.org",[],https://www.sstic.org/media/SSTIC2020/SSTIC-actes/process_level_network_security_monitoring_and_enfo/SSTIC2020-Article-process_level_network_security_monitoring_and_enforcement_with_ebpf-fournier_Cuzi8wu.pdf,unknown,unknown
eBPF-Guard: a detection method for container escape via multi-level monitoring and enhanced analysis model,"X Lin, Z Chen, W Yang, X Yang, J Luo…",2026,1,"… leading to container escapes. To address this, this paper proposes a new method that combines eBPF-based multi-level container behavior monitoring with LLM-based anomaly …",OuN1QF-wAI8J,"X Lin, Z Chen, W Yang, X Yang, J Luo… - Empirical Software …, 2026 - Springer",[],https://link.springer.com/article/10.1007/s10664-025-10784-1,unknown,unknown
eBPF based Runtime Detection of Semantic DDoS Attacks in Linux Containers,"S Remya, MJ Pillai, B Niranjan, PMA Kumar…",2025,2,… extended Berkeley Packet Filter (eBPF) probes. Unlike prior … -tests confirms that our eBPF-based approach reduces detection … These limits are enforced through eBPF map creation …,CMBl8tvk3ZAJ,"S Remya, MJ Pillai, B Niranjan, PMA Kumar… - IEEE …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11179973/,unknown,unknown
Bridging Observability and Security: A Graph-Based Arbitration and Adaptive Sensing Approach via eBPF,"H Ran, C Hu, Y Zhuang",2026,0,"… , security defense tools and container orchestration health … deploying KubeArmor for security enforcement, representing … for public safety and information security, including specialized …",uQAXMCe_5G0J,"H Ran, C Hu, Y Zhuang - IEEE Access, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11366217/,unknown,unknown
A protocol-independent container network observability analysis system based on eBPF,"C Liu, Z Cai, B Wang, Z Tang…",2020,80,"… eBPF is the smallest running unit in a Kubernetes cluster, and the pod … containers and processes. In this paper, three types of eBPF programs are used to implement container network …",gUnbdpbWI4YJ,"C Liu, Z Cai, B Wang, Z Tang… - 2020 IEEE 26th …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9359159/,unknown,unknown
The rise of eBPF for non-intrusive performance monitoring,"C Cassagnes, L Trestioreanu, C Joly…",2020,69,"… of Linux subsystems and container isolation concepts, we … To enforce this Docker container and other container … gVisor, the IBM Nabla secure container systems, and others …",c1qF0Oo4x0gJ,"C Cassagnes, L Trestioreanu, C Joly… - … 2020 IEEE/IFIP Network …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9110434/,unknown,unknown
Detecting cryptojacking containers using eBPF-based security runtime and machine learning,"R Kim, J Ryu, S Kim, S Lee, S Kim",2025,13,… eBPF-based runtime security policies through Tetragon can provide an additional layer of protection. Tetragon enables fine-grained monitoring and enforcement … on Cyber Security and …,wbEuJ3z5j74J,"R Kim, J Ryu, S Kim, S Lee, S Kim - Electronics, 2025 - mdpi.com",[],https://www.mdpi.com/2079-9292/14/6/1208,unknown,unknown
Desfam: An adaptive ebpf and ai-driven framework for securing cloud containers in real time,"S Zehra, HJ Syed, F Samad, U Faseeha",2025,4,"… based on MITRE ATT&CK mappings and CVE correlations; and 4) adaptive syscall enforcement using eBPF … information and network security, cybersecurity, eBPF, software-defined …",0IHpLdFhfCoJ,"S Zehra, HJ Syed, F Samad, U Faseeha - IEEE Access, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11095719/,unknown,unknown
