Search_Topic,Paper_Count,Total_Citations,Avg_Citations,Year_Range
Alphabet/Google,10,55,5.5,2021-2026
Gemini AI,10,387,38.7,2023-2026
Global Lock/Pandemic,10,1691,169.1,2020-2022
Semiconductor Industry,10,676,67.6,2021-2025
Quantum Computing,9,1686,187.33333333333334,2020-2026
Project Nimbus,9,69,7.666666666666667,2021-2025
Jeffrey Epstein,9,8,0.8888888888888888,2020-2026
Sion/CERN Quantum,8,848,106.0,2021-2025
Starshield,8,18,2.25,2023-2025
BlackRock Aladdin,8,15,1.875,2020-2026
Elon Musk,7,9,1.2857142857142858,2023-2026
Windsor Family,6,4,0.6666666666666666,2020-2025
Project Maven,6,178,29.666666666666668,2020-2025
Cargill-MacMillan,5,31,6.2,2022-2026
Pritzker Family,5,49,9.8,2022-2025
Lockheed Martin Skunk Works,4,19,4.75,2020-2025
Vanguard & State Street,4,277,69.25,2020-2026
World Economic Forum (WEF),4,133,33.25,2020-2023
Shadow Governance,4,22,5.5,2021-2025
Newhouse Family,4,2,0.5,2020-2023
Gotthard Base Tunnel,4,4,1.0,2022-2022
QBI/Tax Policy,4,7,1.75,2020-2022
Bank for International Settlements (BIS),4,13,3.25,2021-2025
Investor AB / Wallenberg,3,6,2.0,2021-2025
Booz Allen Hamilton,3,4,1.3333333333333333,2020-2024
BlackRock,3,39,13.0,2020-2024
Grosvenor Family,3,4,1.3333333333333333,2023-2024
Donald Trump,3,161,53.666666666666664,2020-2021
World Health Organization (WHO),3,273,91.0,2024-2025
Thyssen-Krupp,3,129,43.0,2021-2023
Rothschild & Co,3,4,1.3333333333333333,2020-2026
Tavistock Institute,3,7,2.3333333333333335,2020-2020
DTCC,3,48,16.0,2021-2022
City of London,3,20,6.666666666666667,2022-2025
JPMorgan Chase,3,0,0.0,2024-2025
NSA,3,60,20.0,2022-2023
Inter-Alpha Group of Banks,2,17,8.5,2024-2026
FormFactor Inc.,2,5,2.5,2020-2021
Al-Saud Family,2,5,2.5,2023-2024
Hearst Family,2,3,1.5,2020-2024
Rockefeller Family,2,368,184.0,2020-2022
NRO,2,25,12.5,2020-2023
Morgan Family,2,5,2.5,2020-2021
SMOM (Sovereign Military Order of Malta),2,1,0.5,2020-2023
Sovereign Immunity,2,97,48.5,2020-2026
Vatican Bank (IOR),2,2,1.0,2023-2024
Warburg Family,2,3,1.5,2020-2021
Agnelli Family,1,0,0.0,2024-2024
Bechtel National,1,1,1.0,2021-2021
Bertelsmann,1,7,7.0,2022-2022
CERN,1,100,100.0,2020-2020
CIA,1,2,2.0,2022-2022
Group of Thirty (G30),1,5,5.0,2025-2025
Cox Family,1,0,0.0,2022-2022
DARPA,1,11,11.0,2020-2020
Mars Family,1,0,0.0,2022-2022
Li Ka-shing,1,0,0.0,2024-2024
Lex Mercatoria,1,1,1.0,2020-2020
Klaus Schwab,1,535,535.0,2021-2021
United Nations,1,1,1.0,2022-2022
