title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Dionysus and Rome: religion and literature,F Mac Góráin,2019,16,… The shadow of Bacchus: Liber and Dionysus in Christian Latin literature (2nd-4th centuries)… and texts on religions in classical Rome. Her PhD was on the images of Dionysus in Rome. A …,gbeX1zCc6DsJ,F Mac Góráin - 2019 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=bbLQDwAAQBAJ&oi=fnd&pg=PP5&dq=Dionysus+Bacchus+religion&ots=N4P3SMkLib&sig=F2oxgkXEvrHcaqvaepVXcOovYsI,unknown,unknown
The containment of Dionysos: religion and politics in the Bacchanalia affair of 186 BCE,M Riedl,2012,30,"… BCE was the first major religious persecution in Europe. The … Both types are based on particular religious experiences, the … , the worship of Bacchus-Dionysus had always represented …",Uh_4LP4Z824J,"M Riedl - International Political Anthropology, 2012 - academia.edu",[],https://www.academia.edu/download/31499354/Riedl_Bacchanalia.pdf,unknown,unknown
The Term βάκχος and Dionysos βάκχιος,MA Santamaría,2013,27,… We shall begin by pointing out a striking feature of the Dionysian … Bacchus imposed itself over Liber as the common name of the god. Regarding the origin and diffusion of the Dionysian …,pimocR-HhGIJ,"MA Santamaría - Redefining Dionysos, 2013 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=FmTnBQAAQBAJ&oi=fnd&pg=PA38&dq=Dionysus+Bacchus+religion&ots=tO7n7f7Cip&sig=8XyF8Gn9d-F19LWPmH0bqrbi5LQ,unknown,unknown
Introduction. Dionysus and Rome: accommodation and resistance,F Mac Góráin,2019,11,"… Liberalia and the different forms of Dionysus/Bacchus/Liber that were worshipped throughout Italy. Here we are in the realm of religious polymorphism: as Henk Versnel has asked, is …",nJqUqcA_ue4J,F Mac Góráin - 2019 - discovery.ucl.ac.uk,[],https://discovery.ucl.ac.uk/id/eprint/10082451/,unknown,unknown
"Dionysus in the mirror of Late Antiquity: religion, philosophy and politics",DH de la Fuente,2021,1,"… The first Bacchus is Dionysus, whose ecstasy manifests itself in dancing and shouting, that is in every form of movement, of which he is the cause according to the Laws [672a5‒d4]; but …",JYEHN8aW0fkJ,"DH de la Fuente - Dionysus and Politics, 2021 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781003050995-11&type=chapterpdf,unknown,unknown
"Madness, Maenads and Mystery Cult Practices: The Continuous Subversion of Dionysus in Painting",E Bello,2018,0,"… Dionysus/Bacchus in Rome was connected to chthonic … Dionysiac religion is said to have roots in the earliest Greek … to in the Athenian cult as Dionysus Eleuthereus, literally “the one …",P6rzIxh8AloJ,"E Bello - Capstone, The UNC Asheville Journal of …, 2018 - janeway.uncpress.org",[],https://janeway.uncpress.org/capstone/article/id/3264/,unknown,unknown
Dionysus: The development of the literary myth,AD Lévy,2015,3,"… to Euripides the name Bacchus comes from bacchos, meaning branch', and as Bacchus, the … words sensuality and cruelty to form a definition of Dionysiac religion, and they do, indeed, …",PocbGifKrl8J,"AD Lévy - Companion to Literary Myths, Heroes and Archetypes, 2015 - taylorfrancis.com",[],https://www.taylorfrancis.com/chapters/edit/10.4324/9781315677095-33/dionysus-development-literary-myth-ann-d%C3%A9borah-l%C3%A9vy,unknown,unknown
Dionysian associations and the Bacchanalian affair,J Steinhauer,2019,17,"… a basis to believe that Dionysus was worshipped at least from … such evidence exists for Dionysian associations in the epigraphy … As seen throughout this essay, Dionysus or Bacchus is …",fKp7zZdWwegJ,"J Steinhauer - Dionysus and Rome: Religion and Literature, 2019 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=bbLQDwAAQBAJ&oi=fnd&pg=PA133&dq=Dionysus+Bacchus+religion&ots=N4P3SMkLib&sig=YwHcapUfjxj5F3G2QAQtK3F7714,unknown,unknown
Dionysus in Rome,F Mac Góráin,2017,4,"… for archaic Italian religion, working with a legacy that saw Roman religion as inferior to Greek… far from the “genuine” worship of Dionysus/Bacchus/Liber considered earlier in this chapter, …",Eh2KR8-fb_cJ,"F Mac Góráin - A Handbook to the Reception of Classical …, 2017 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119072034.ch22,unknown,unknown
Dionysos against Rome? The Bacchanalian affair: a matter of power (s),JM Pailler,2021,6,"… Given such a dissymmetrical situation,1 the relationship between Bacchus and the (political… is a mixture of concerns about family, politics and religion, with a special focus on the direct re…",CI_-lwKCPr4J,"JM Pailler - Dionysus and Politics, 2021 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781003050995-5&type=chapterpdf,unknown,unknown
