title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The Book of Enoch or books of Enoch? The textual evidence for 1 Enoch,MA Knibb,2007,28,"The Aramaic text of the Astronomical Book began, so far as is known, with a calendar of the phases of the moon in which the movements of the moon are synchronized with those of the …",AJdAGtbHQuQJ,"MA Knibb - The Early Enoch Literature, 2007 - brill.com",[],https://brill.com/downloadpdf/display/book/edcoll/9789047421764/Bej.9789004161542.i-368_004.pdf,unknown,unknown
The book of Enoch,"RH Charles, WOE Oesterley",2007,142,"… of the book, Leszynsky holds … book originally was the bringing about of a reform of the calendar. He points to the ascription of the book to Enoch as supporting his contention, for Enoch …",0eaujVP7FSgJ,"RH Charles, WOE Oesterley - 2007 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=ZkM1AwAAQBAJ&oi=fnd&pg=PP1&dq=Book+of+Enoch+academic&ots=ehpyD87xWe&sig=4wo9iHdamk_O2gNrMNRdQ5o6DU8,unknown,unknown
Enochic Biography and the Manuscript History of 1 Enoch: The Codex Panopolitanus Book of the Watchers,E Dugan,2021,11,"… Codex Panopolitanus Book of the Watchers attests a new arrangement of the work, one organized around a Genesis-style biography of Enoch. I argue that the two scribes of the Book of …",phHZBSqmD0oJ,"E Dugan - Journal of Biblical Literature, 2021 - scholarlypublishingcollective.org",[],https://scholarlypublishingcollective.org/sblpress/jbl/article-abstract/140/1/113/286477,unknown,unknown
Apocalyptic literature in the jewish tradition: The first book of enoch,H Bader,2018,1,"… The use of the word apocalyptic in the academic discussions began to denote a certain type of writing that can be classified under the name of ""Apocalyptic literature"". It started after the …",wxiZTJi-H2UJ,H Bader - 2018 - katalog.marmara.edu.tr,[],https://katalog.marmara.edu.tr/veriler/yordambt/cokluortam/5D/553C8D5A-8E15-7046-ACDD-4BC7DDD4CF2C.pdf,unknown,unknown
The Book of Enoch and Early Astronomical Thought: A Prelude to Scientific Observation,BS Goshu,2025,7,"… This study explores the Book of Enoch's contribution to early … The Book of Enoch offers a rare glimpse into an early Jewish … The medieval and Renaissance eras, when academics …",GN-rei-OjrAJ,"BS Goshu - Budapest International Research in Exact Sciences …, 2025 - researchgate.net",[],https://www.researchgate.net/profile/Belay-Goshu/publication/389989259_The_Book_of_Enoch_and_Early_Astronomical_Thought_A_Prelude_to_Scientific_Observation/links/67dbb9ace62c604a0df5fd92/The-Book-of-Enoch-and-Early-Astronomical-Thought-A-Prelude-to-Scientific-Observation.pdf,unknown,unknown
An Introductory Bibliography for the Study of 1 Enoch,H Drawnel,2019,10,"ABSTRACT: The article contains elementary information concerning the manuscripts of 1 Enoch, … By offering a general perspective on the manuscripts of 1 Enoch, with special attention …",n2lKcJyVDPQJ,"H Drawnel - The Biblical Annals, 2019 - ceeol.com",[],https://www.ceeol.com/search/article-detail?id=779892,unknown,unknown
The Impact of the Book of Enoch on Christianity and Other Religions,R Delp,2017,2,"… , ¹16 the standard academic view regarding the Book of Enoch is that some … The book was called Book of Enoch because Enoch is the main focus of the story. The Third Book of Enoch …",VT23quMdAnAJ,R Delp - 2017 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=bzi0DgAAQBAJ&oi=fnd&pg=PT8&dq=Book+of+Enoch+academic&ots=KQFZcrCKgA&sig=1zzyzV8CDLP8K3l--oWMf6R0q60,unknown,unknown
"The Book of Enoch and the Ethiopian Tradition: Scripture, Angelology, and the Second Temple World",MS Nicholson,2026,0,"… This volume is a work of scholarship intended for academic readers, theologians, students, and serious general readers. All historical claims are grounded in primary sources and peer…",MsUUWHlYnEIJ,MS Nicholson - 2026 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=cCLREQAAQBAJ&oi=fnd&pg=PA2&dq=Book+of+Enoch+academic&ots=8tvBxFj9db&sig=5OmTber5scxbzsLIuQbOLCzPmkc,unknown,unknown
Circles and Mirrors: Understanding 1 Enoch 21-32,J Stock-Hesketh,2000,17,"… The first 36 chapters of 1 Enoch, the Book of the Watchers, have received considerable scholarly attention and detailed work has been done by Milik and Blacky Milik dates the Judaean …",0X4BvdhnQ70J,"J Stock-Hesketh - Journal for the Study of the …, 2000 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/095182070000002103,unknown,unknown
"Categorization, Collection, and the Construction of Continuity: 1 Enoch and 3 Enoch in and beyond “Apocalypticism” and “Mysticism” 1",AY Reed,2017,10,"… Book of the Watchers (ie, 1 Enoch 1-36): “From the fourteenth chapter of the Ethiopic Book of Enoch… we can understand kabbalistic literature in an academic context,” not least because …",0l9k0VhMm5oJ,"AY Reed - Method & theory in the study of religion, 2017 - brill.com",[],https://brill.com/view/journals/mtsr/29/3/article-p268_3.xml,unknown,unknown
