title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The Unsettling Truth: The United States Satisfied Its International Child Rights Obligations In The Epstein‑Maxwell Matter,B Supernova,2026,0,… occurred in the internafional Epstein‑Maxwell network. … It offers an original contribufion: the Epstein‑Maxwell matter not … of a broader trafficking ring beyond Epstein and Maxwell.⁹⁰ …,NR5i-R1tBjIJ,B Supernova - 2026 - papers.ssrn.com,[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6530383,unknown,unknown
"Submerged Networks: Ghislaine Maxwell's TerraMar, Submarine Capabilities, and the Epstein Conspiracy",DC Youvan,2026,0,"… for Maxwell and Epstein's activities and setting the stage for … after Epstein's federal arrest on sex trafficking charges in July … Maxwell and Epstein's networks, though no specific charges …",k_r0LHij6cIJ,DC Youvan - 2026 - researchgate.net,[],https://www.researchgate.net/profile/Douglas-Youvan/publication/400622153_Submerged_Networks_Ghislaine_Maxwell's_TerraMar_Submarine_Capabilities_and_the_Epstein_Conspiracy/links/698b477f64ca8a38208b225a/Submerged-Networks-Ghislaine-Maxwells-TerraMar-Submarine-Capabilities-and-the-Epstein-Conspiracy.pdf,unknown,unknown
SOCIAL NETWORK ANALYSIS OF JEFFREY EPSTEIN AND OTHER ELITE OFFENDERS'FACILITATION NETWORKS THROUGH A PSYCHOPOSSESSION …,L Pokorny,2026,0,"… of elite offender facilitation networks through the theoretical lens of … networks were analyzed: the Jeffrey Epstein criminal network (n = 84 nodes), the NXIVM organization network …",okikwl8Pry4J,L Pokorny - 2026 - researchgate.net,[],https://www.researchgate.net/profile/Laszlo-Pokorny/publication/401279101_SOCIAL_NETWORK_ANALYSIS_OF_JEFFREY_EPSTEIN_AND_OTHER_ELITE_OFFENDERS'_FACILITATION_NETWORKS_THROUGH_A_PSYCHOPOSSESSION_LENS/links/69a10f43d03ed378c94b5732/SOCIAL-NETWORK-ANALYSIS-OF-JEFFREY-EPSTEIN-AND-OTHER-ELITE-OFFENDERS-FACILITATION-NETWORKS-THROUGH-A-PSYCHOPOSSESSION-LENS.pdf,unknown,unknown
"The Epstein Files Leakage: Transparency, Controversy, and the Implications for Global Accountability","SRH Bukhari, MK Hamayoun",2026,0,… Jeffrey Epstein and Ghislaine Maxwell are one of the most … Her 2021 indictment on sex trafficking and other related charges … of work of a criminal network that Epstein operated. Primary …,a6dgIQZD5oMJ,"SRH Bukhari, MK Hamayoun - Journal of Regional Studies Review, 2026 - jrsr.com.pk",[],https://jrsr.com.pk/index.php/jrsr/article/view/157,unknown,unknown
"La vérité sur le système Epstein: Paris, Londres, New York... le réseau criminel mondial qu'ils ont voulu cacher",A Bauer,2026,0,… Période couverte par l'acte d'accusation ultérieur contre Ghislaine Maxwell : Jeffrey Epstein et Ghislaine Maxwell recrutent et exploitent sexuellement des mineures de manière …,DZsqzOQMhL0J,A Bauer - 2026 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=aMfZEQAAQBAJ&oi=fnd&pg=PP12&dq=Epstein+Maxwell+trafficking+network&ots=8GIws0B06Y&sig=02h5p2jZT7npnxTK50YQE_x2tDw,unknown,unknown
Comparing Lifetime's Surviving Jeffrey Epstein (2020) with Netflix's Jeffrey Epstein: Filthy Rich (2020),A Hardiman,2026,0,"… networks, I demonstrate how Lifetime’s Surviving Jeffrey … the consequences of Epstein and Maxwell's manipulation and … were allegedly exploited and trafficked by Epstein internationally. …",3easNIBQfEIJ,"A Hardiman - Televising True Crime in the Digital Age: Critical …, 2026 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=-TPbEQAAQBAJ&oi=fnd&pg=RA1-PA2010-IA1&dq=Epstein+Maxwell+trafficking+network&ots=zLjRzEr2NN&sig=KKNtOAtxYzh67eSXu8C0ooVrsYI,unknown,unknown
The Architecture of Impunity: Systemic Evasion and Institutional Design in Elite Sex Trafficking,"E Shehab, B Hamamra",2026,0,"… Jeffrey Epstein’s crimes as an isolated episode centered on a single wealthy offender, a defined group of victims, and a network of … Maxwell demonstrated the difficulty of enforcing such …",OTrCQkba6ckJ,"E Shehab, B Hamamra - Journal of Human Trafficking, 2026 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/23322705.2026.2671960,unknown,unknown
House Republicans descend on Clintons' hometown for high-stakes Epstein probe grilling,E Elkind,2026,0,… critical to understanding Epstein and [Ghislaine Maxwell's] sex trafficking network and the ways … can strengthen laws to better combat human trafficking. Our goal for this investigation is …,V5waDue2N9cJ,E Elkind - 2026 - yoga-bera.de,[],https://yoga-bera.de/yoga-bera.de/articles/aa/full_html/2021/12/aa38553-20/aa38553-20.htmlfeed/.amp/leader/kazuhiro-komiya/480/.ampfeed/channel/news/denza-philippines/http://www.daily-sun.com%2Fbusiness%2F859735%2Fnew-us-tariffs-come-in-at-lower-10-rate/berita/detail/langkah-kecil-satgas-tmmd-dampak-besar-bagi-kenyamanan-posyandufeed/?sort=date&order=desc,unknown,unknown
"The Body as Sovereign Asset: Solomon, Epstein, and the Political Economy of Sexualized Power",MI Rizzone,2026,0,… sex trafficking of minors and conspiracy to commit sex trafficking … case is the Epstein network. 2United States v. Jeffrey … Maxwell that he flew Maxwell and Giuffre together on at least …,Dn6lMR9MD6kJ,"MI Rizzone - Epstein, and the Political Economy of Sexualized …, 2026 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6437582,unknown,unknown
"The Epstein-Zionist Synthesis: Post-Diasporic Power Dynamics, Intelligence Leverage, and the 2026 Middle East Escalation",DC Youvan,2026,0,"… This section concludes that the Epstein network was the operational arm of a post-diasporic … exhaustive accounting of the Epstein-Maxwell network, the tactical execution of the January …",LTzJPz1sJXwJ,DC Youvan - 2026 - researchgate.net,[],https://www.researchgate.net/profile/Douglas-Youvan/publication/401417188_The_Epstein-Zionist_Synthesis_Post-Diasporic_Power_Dynamics_Intelligence_Leverage_and_the_2026_Middle_East_Escalation/links/69a4fe76003023747db34972/The-Epstein-Zionist-Synthesis-Post-Diasporic-Power-Dynamics-Intelligence-Leverage-and-the-2026-Middle-East-Escalation.pdf,unknown,unknown
"Patriarchy, Scandal, and Gendered Victimhood: A Critical Reading of the Epstein Files","S Pandey, A Parashar…",2026,0,"… Maxwell placed before the public a record that many had long suspected existed: a detailed, institutional account of Jeffrey Epstein’s decades-long network of sexual exploitation. The …",et-fu21l3DEJ,"S Pandey, A Parashar… - The Research Frontline …, 2026 - trfjournal.cdfaindia.org",[],https://trfjournal.cdfaindia.org/index.php/trfjournal/article/view/112,unknown,unknown
