title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Global financial crisis, smart lockdown strategies, and the COVID-19 spillover impacts: A global perspective implications from Southeast Asia","C Wang, D Wang, J Abbas, K Duan…",2021,298,… pandemic has caused a severe crisis of healthcare facilities and economic challenges worldwide. … The outbreak of the COVID-19 epidemic has caused a global health emergency. The …,UDZ6ocwn9L4J,"C Wang, D Wang, J Abbas, K Duan… - Frontiers in psychiatry, 2021 - frontiersin.org",[],https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2021.643783/full,unknown,unknown
"The Pandemic Crisis Shows that the World Remains Trapped in a'Global Doom Loop'of Financial Instability, Rising Debt Levels, and Escalating Bailouts",AE Wilmarth,2021,7,"… banks, and capital markets are locked together in a dangerous web of … pandemic financial crisis confirms that we have failed to address the root causes of the global financial crisis …",FJSaif8K1n0J,"AE Wilmarth - Rising Debt Levels, and Escalating Bailouts (August …, 2021 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3901967,unknown,unknown
"The COVID-19 financial crisis, global financial instabilities and transformations in the financial system",J Wullweber,2020,47,"… financial crisis induced by the COVID-19 outbreak was not an unpredictable black swan event in an otherwise stable system, and demonstrates that where the financial … -19 pandemic, …",zR4e5zmgOvkJ,"J Wullweber - Global Financial Instabilities and Transformations in …, 2020 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3688453,unknown,unknown
The Great Lockdown vs. The Great Depression and the 2008 Global Financial Crisis,A Sogani,2020,13,"… rigorously battle the pandemic and respond with stringent quarantine and containment efforts, we are seeing a significant disruption of supply chains which has worldwide ripple effects. …",LNP5HHtVp28J,"A Sogani - E-International Relations, 2020 - e-ir.info",[],https://www.e-ir.info/2020/07/02/the-great-lockdown-vs-the-great-depression-and-the-2008-global-financial-crisis/,unknown,unknown
Global economic and financial effects of 21st century pandemics and epidemics,"C Ma, JH Rogers, S Zhou",2020,167,"As worldwide deaths attributed to the COVID-19 pandemic approach 100,000, while the … real economic activity and financial markets are equally funereal. Amid lock downs and shelter …",0Vj4gGpSfCQJ,"C Ma, JH Rogers, S Zhou - Covid Economics, 2020 - iris.unito.it",[],https://iris.unito.it/retrieve/handle/2318/1811676/837652/CovidEconomics5.pdf#page=60,unknown,unknown
Disruptions and resilience in global container shipping and ports: the COVID-19 pandemic versus the 2008–2009 financial crisis,"T Notteboom, T Pallis…",2021,676,"… the world (ie, China), it remains to be seen whether the pandemic may recreate financial crisis … the impacts of the financial crisis and the COVID-19 pandemic on container shipping and …",5XlSUDLMke0J,"T Notteboom, T Pallis… - Maritime Economics & …, 2021 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC7781181/,unknown,unknown
"Covid-19 global, pandemic impact on world economy","MF Sattar, S Khanum, A Nawaz, MM Ashfaq…",2020,26,"… baht, which shaped fright and caused an economic recession and financial crisis in Asia. … whole world lock down instead of some basic good producing factories. According to (Horowit, …",MfZskrxlSkEJ,"MF Sattar, S Khanum, A Nawaz, MM Ashfaq… - Technium Soc. Sci …, 2020 - HeinOnline",[],https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/techssj11&section=19,unknown,unknown
A comparative analysis of COVID-19 and global financial crises: evidence from US economy,"Z Li, P Farmanesh, D Kirikkaleli, R Itani",2022,188,"… of the global financial crisis, and the COVID-19 pandemic on … compare the global financial crisis and COVID-19 pandemic, in … The country should end the lockdown and introduce smart …",kom1b11oVckJ,"Z Li, P Farmanesh, D Kirikkaleli, R Itani - Economic Research …, 2022 - hrcak.srce.hr",[],https://hrcak.srce.hr/file/435953,unknown,unknown
The Corona crash: How the pandemic will change capitalism,G Blakeley,2020,98,"… further waves of the virus that will require a recommencement of lock- … Global North like the US, the UK and Ireland have managed to avoid a financial crisis as a result of the pandemic - …",pS8hBoVS3FIJ,G Blakeley - 2020 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=YBUAEAAAQBAJ&oi=fnd&pg=PR7&dq=Global+Lock+financial+crisis+pandemic&ots=lwLwPt_OmF&sig=dKmkbl_aAvMkf579OtFLjs9sWUU,unknown,unknown
The determinants of bootstrap financing in crises: evidence from entrepreneurial ventures in the COVID-19 pandemic,"JH Block, C Fisch, M Hirschmann",2021,171,"… Plain English Summary Economic downturns or crises often lead to financial distress for … is used during crises, we investigate how it was used during the COVID-19 crisis. Our study …",rGI9FUigcoYJ,"JH Block, C Fisch, M Hirschmann - Small Business Economics, 2021 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC7829328/,unknown,unknown
