title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Tracking the deployment of IPv6: Topology, routing and performance","S Jia, M Luckie, B Huffaker, A Elmokashfi, E Aben…",2019,43,"… the IPv6 network is maturing, albeit slowly, and notably IPv6 … While most core Internet transit providers have deployed IPv6… – Hurricane Electric – which appears in a large fraction of IPv6 …",Pv1dAtpXNqQJ,"S Jia, M Luckie, B Huffaker, A Elmokashfi, E Aben… - Computer Networks, 2019 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1389128618304092,unknown,unknown
"Measuring the deployment of IPv6: topology, routing and performance","A Dhamdhere, M Luckie, B Huffaker, KC Claffy…",2012,161,"… find that for all IPv6 VPs, Hurricane Electric appears in the largest … Contrast this with the importance of Hurricane Electric in the … that IPv6 adoption is faster in the core of the network while …",aCwXAaDfQ3YJ,"A Dhamdhere, M Luckie, B Huffaker, KC Claffy… - Proceedings of the …, 2012 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/2398776.2398832,unknown,unknown
"IPv6 AS relationships, cliques, and congruence","V Giotsas, M Luckie, B Huffaker, K Claffy",2015,31,"… the IPv6 links observed in public BGP data for Hurricane Electric (HE), the most prominent AS in the IPv6 … AS topology lacks a fully connected clique that serves as the transit backbone …",Ue_GWzRM5l0J,"V Giotsas, M Luckie, B Huffaker, K Claffy - … on Passive and Active Network …, 2015 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-319-15509-8_9,unknown,unknown
The Pacific Wave Advanced Network Backbone: An Emulation Approach Under IPv6,"JI Castillo-Velázquez, I Varela-Sánchez…",2023,2,"… In 2012 there was a worldwide launch of IPv6 for Internet … management for NRENs under IPv6 protocols such as OSPFv3, … Wave backbone network topology valid for 2021, using IPv6 …",1NtfmJWRXigJ,"JI Castillo-Velázquez, I Varela-Sánchez… - 2023 IEEE 3rd …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10075846/,unknown,unknown
Discovering the IPv6 network periphery,"EC Rye, R Beverly",2020,49,"… IPv6 periphery, rather than network core infrastructure, servers or other endhosts. … Indeed, we empirically observe many networks that use very different IPv6 prefixes for the last hop point…",g79Lq5Ah2OwJ,"EC Rye, R Beverly - … conference on passive and active network …, 2020 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-44081-7_1,unknown,unknown
Estudio y Comparación de Métodos para la Implementación de Conectividad IPv6 en Redes sin Soporte Nativo,A Garrido Real,2025,0,"… of the IPv6 protocol, highlighting its most relevant features. It then examines various services that enable IPv6 in the network, such as Hurricane Electric’s TunnelBroker, a VPN with IPv6 …",SxlT8956fmoJ,A Garrido Real - 2025 - idus.us.es,[],https://idus.us.es/bitstreams/c7d6ffbb-4713-4ead-9f56-0abef9cd101e/download,unknown,unknown
Network Reconnaissance in IPv6-based Residential Broadband Networks,T Bruns,2012,3,"… a noncommercial network based in Bremen, Germany. During my scans, AS206226’s only transit provider was Hurricane Electric (AS6939), an extremely well connected global carrier. …",5L0CbgNuv-QJ,"T Bruns - arXiv preprint arXiv:2012.10652, 2020 - arxiv.org",[],https://arxiv.org/abs/2012.10652,unknown,unknown
ISP independent architecture (IIA) for IPv6 packet traversing and inter-connectivity over hybrid (IPv4/IPv6) internet,"T Saraj, M Yousaf, S Akbar, A Qayyum…",2014,6,… (translation) and Tunnel broker service (Hurricane electric with 6in4 tunneling) are used. … users are now gradually shifting from IPv4 to IPv6. The core reason for this shift is the IPv4 …,wPGbKG3-NAcJ,"T Saraj, M Yousaf, S Akbar, A Qayyum… - Procedia Computer …, 2014 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1877050914007200,unknown,unknown
Studying the evolution of content providers in IPv4 and IPv6 internet cores,"E Carisimo, C Selmo, JI Alvarez-Hamelin…",2019,34,"… to the core and, if so, since when. In addition, we examine differences between the IPv4 and IPv6 … Finally, we show that the core of the Internet has incorporated an increasing number of …",lSKaptIoy_8J,"E Carisimo, C Selmo, JI Alvarez-Hamelin… - Computer …, 2019 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0140366418310090,unknown,unknown
Implementing moving target ipv6 defense to secure 6lowpan in the internet of things and smart grid,"M Sherburne, R Marchany, J Tront",2014,57,… the backbone network to the border router and within the 6LoWPAN … Hurricane Electric’s tunnelbroker.net service that assigns /48 subnets. We then created an interface labeled he-ipv6 …,Cf0Gzs8qcuwJ,"M Sherburne, R Marchany, J Tront - Proceedings of the 9th Annual Cyber …, 2014 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/2602087.2602107,unknown,unknown
