title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Redefining competition and submarine cable ownership: Equiano, MainOne, and the making of middlemen",JE Nwankwo,2025,1,"… -owned by Meta, formerly Facebook) cables. Table 1 provides an … Cable that will connect countries across the Atlantic Coasts of Africa to Europe. Furthermore, much like Meta (Facebook…",tZlduKiOGXYJ,"JE Nwankwo - The Information Society, 2025 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/01972243.2025.2547676,unknown,unknown
Business and Environmental Perspectives of Submarine Cables in Global Market,N Aishwarya,2020,2,"… such as Google, Facebook, and Microsoft to provide seamless … GTT Express, MAREA, AEConnect-1 and NCP cable system. … At present, eight trans-atlantic fiber optics cable systems like …",EsEv5xRXmNkJ,"N Aishwarya - Future of Information and Communication Conference, 2020 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-39445-5_29,unknown,unknown
Undersea cables in Africa: The new frontiers of digital colonialism,"E Mwema, A Birhane",2024,40,… The historical parallels between the trans-Atlantic slave trade and undersea cables is shown … undersea cable network owned by Meta (Facebook) in a consortium that includes China …,E9IwmIsMmygJ,"E Mwema, A Birhane - First Monday, 2024 - firstmonday.org",[],https://firstmonday.org/ojs/index.php/fm/article/view/13637,unknown,unknown
Submarine cables across the Atlantic: Geopolitics and security of a critical infrastructure,RG Pérez,2023,5,"… The MAREA cable from Bilbao (Spain), built in the same year jointly by Facebook and Microsoft and operated by Telxius, also connects to this terminus. Both projects, of high strategic …",ycIeGMw4WKYJ,"RG Pérez - Atlantic Center Report, 2023 - vliz.be",[],https://www.vliz.be/imisdocs/publications/ocrd/395333.pdf#page=58,unknown,unknown
Economic impact of Meta's subsea cable investments in Europe,"B Anderson, J Merker, J Wagstaff, A Brower, R Lakhani…",2021,4,"… Meta’s investment in the MAREA subsea cable and the potential economic impact of future … For the possible landing in 2024, our model is based on a transatlantic subsea cable …",neaohcFnkSgJ,"B Anderson, J Merker, J Wagstaff, A Brower, R Lakhani… - RTI International, 2021 - rti.org",[],https://www.rti.org/publication/economic-impact-meta-subsea-cable-investments-europe/fulltext.pdf,unknown,unknown
The geopolitical economy of the global internet infrastructure,D Winseck,2017,215,"… giants such as Google, Facebook, and Microsoft, which have joined with … transatlantic cables are slated to begin service in the next year or two as well, for example the MAREA cable …",jwLsnOWL8DsJ,"D Winseck - Journal of Information Policy, 2017 - scholarlypublishingcollective.org",[],https://scholarlypublishingcollective.org/psup/information-policy/article-abstract/7/1/228/314472,unknown,unknown
Currents of control: Ownership evolutions in the submarine data cable industry,"SS Lai, S Flensburg, K Sick",2026,1,"… Focusing on the growing number of new cable projects and their ownership, we identify several phases of network expansion, which correspond with different types of market …",Y6ZfM-00jHMJ,"SS Lai, S Flensburg, K Sick - Media, Culture & Society, 2026 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/01634437251410061,unknown,unknown
Internet infrastructure and the persistent myth of US hegemony,D Winseck,2019,59,"… new trans-Atlantic cables—two in the North (MAREA … Facebook, Amazon, and Microsoft have also recently entered the fray to become significant owners and operators of cables systems…",509qG63nhVgJ,"D Winseck - Information, technology and control in a changing …, 2019 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-14540-8_5,unknown,unknown
Connecting the World: The Physical Platform of International Telecommunication,O Khaled,2019,0,"… Amazon, Google, Microsoft and Facebook are involved in constructing their own cables to meet their … On the trans-Atlantic route, content provider network bandwidth exceeded internet …",TslDGez3PmAJ,O Khaled - 2019 - econstor.eu,[],https://www.econstor.eu/handle/10419/201734,unknown,unknown
The Pacific futures of subsea data centers,"T Sutherland, G Bopp",2023,26,"… The awe that was inspired by the first transatlantic cable—… cable was broken, and another functional transatlantic cable … tech companies—Google, Facebook, Microsoft, and Amazon—…",QS99bJkQjyAJ,"T Sutherland, G Bopp - New Media & Society, 2023 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/14614448221149944,unknown,unknown
