title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Internet from space: how new satellite connections could affect global internet governance,D Voelsen,2021,25,"… These satellites will be stationed in low Earth orbit. ∎ If these plans are put into practice, … SpaceX launch vehicles for building its LEO constellation. In turn, SpaceX benefits from Starlink’…",Dmijh_rhx7EJ,D Voelsen - 2021 - ssoar.info,[],https://www.ssoar.info/ssoar/handle/document/76382,unknown,unknown
Starlink satellite project impact on the Internet provider service in emerging economies,"Y Shaengchart, T Kraiwanit",2023,55,"… Internet in remote and rural locations globally. This study aims to investigate the Starlink satellite project’s impact on the Internet … A quantitative approach was used, and an online …",seRKKwbxj3kJ,"Y Shaengchart, T Kraiwanit - Research in Globalization, 2023 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2590051X23000229,unknown,unknown
Low-Earth orbit satellite constellations for global communication network connectivity,"E Lagunas, S Chatzinotas, B Ottersten",2024,55,"… With orbits near to Earth, low-Earth orbit (LEO) satellite … capacity and high-speed global internet provision compared with … as SpaceX Starlink, which follow Walker-Delta type of orbit at …",HlZZ7JmxgK0J,"E Lagunas, S Chatzinotas, B Ottersten - Nature Reviews Electrical …, 2024 - nature.com",[],https://www.nature.com/articles/s44287-024-00088-9,unknown,unknown
"LEO Satellite Mega-Constellations: Market Dynamics, Orbital Mechanics, Policy Challenges, and the Future of Global Connectivity",S Haritwal,2025,0,"… presented across domains such as global internet provision, aviation connectivity… SpaceX’s Starlink is the most advanced and expansive LEO constellation to date. By mid2024, Starlink …",gjUwG1g8nfkJ,"S Haritwal - … , and the Future of Global Connectivity (September 06 …, 2025 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5450454,unknown,unknown
A global Internet: The next four billion users,W Hanson,2015,18,"… by SpaceX and Google has plans for more than 4,000 new satellites in their system, and at least two other systems have constellations in orbit … Existing space-based Internet access has …",Vycg06owGXQJ,"W Hanson - New Space, 2015 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1089/space.2015.0033,unknown,unknown
Satellite internet technology implementation for the practice of medicine and surgery,"WJ Nahm, CJ Boyd…",2023,7,"… internet from SpaceX's satellite internet service, Starlink, which comprises numerous low Earth orbit … internet support anywhere in the world, no matter the state of an area's infrastructure. …",6qY4nouQxLwJ,"WJ Nahm, CJ Boyd… - … Journal of Surgery, 2023 - americanjournalofsurgery.com",[],https://www.americanjournalofsurgery.com/article/S0002-9610(23)00018-1/abstract,unknown,unknown
How Starlink Has Impacted Connectivity Initiatives in Africa,J Bonsall,2025,0,"… Erwin, Starlink soars: SpaceX’s satellite internet surprises analysts with $6.6 billion revenue projection, SpaceNews , 9 May 2024. Available at: https://spacenews. com/…",ewBBEjuvxS4J,"J Bonsall - … Gur B.(red.), Global Governance of Low Earth Orbit …, 2025 - ceeol.com",[],https://www.ceeol.com/content-files/document-1428705.pdf#page=172,unknown,unknown
The placement of satellites in spacex's starlink mission play an important role in its fast internet speed,I Thota,2024,1,"… the orbit of satellites, especially ones in the LEO, like Starlink, … an important role in the internet speed that SpaceX can provide. We … We concluded that this helps SpaceX be organized in …",x0lrsaGzKqkJ,"I Thota - Authorea Preprints, 2024 - techrxiv.org",[],https://www.techrxiv.org/doi/full/10.36227/techrxiv.170543232.22138695,unknown,unknown
Cyber Threat Landscape Analysis for Starlink Assessing Risks and Mitigation Strategies in the Global Satellite Internet Infrastructure,KM Kareem,2024,4,"… Among these networks, Starlink, pioneered by SpaceX, has … provide high-speed internet access on a global scale. However, … in low Earth orbit (LEO), forming a vast network capable of …",yB1Z_KF3EssJ,"KM Kareem - arXiv preprint arXiv:2406.07562, 2024 - arxiv.org",[],https://arxiv.org/abs/2406.07562,unknown,unknown
Performance test of spacex's starlink: An empirical review,"O OMOROGIUWA, N Bello",2024,4,"… internet access to remote regions [1]. One such constellation, Starlink, run by SpaceX, promises fast internet connectivity via its constellation of satellites in low Earth orbit. In this study, a …",GeCXf23sFlQJ,"O OMOROGIUWA, N Bello - JES. Journal of Engineering Sciences, 2024 - journals.ekb.eg",[],https://journals.ekb.eg/article_373289.html,unknown,unknown
