title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Network characteristics of leo satellite constellations: A starlink-based measurement from end users,"S Ma, YC Chou, H Zhao, L Chen…",2023,265,"… network characteristics of Starlink, arguably the largest LSN constellation to date. Our findings confirm that LSNs are a promising solution towards ubiquitous Internet coverage over the …",U-fcxHwseYwJ,"S Ma, YC Chou, H Zhao, L Chen… - IEEE INFOCOM 2023 …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10228912/,unknown,unknown
Large LEO satellite constellations: Will it be different this time,"C Daehnick, I Klinghoffer, B Maritz…",2020,106,"… satellite connectivity 2.0 a success. Our analysis, however, indicates that companies planning large LEO satellite internet constellations … Starlink, the SpaceX constellation, for example).…",zQbVqE1x5aAJ,"C Daehnick, I Klinghoffer, B Maritz… - McKinsey & Company, 2020 - mckinsey.com",[],https://www.mckinsey.com/~/media/McKinsey/Industries/Aerospace%20and%20Defense/Our%20Insights/Large%20LEO%20satellite%20constellations%20Will%20it%20be%20different%20this%20time/Large-LEO-satellite-constellations-Will-it-be-different-this-time-VF.pdf,unknown,unknown
Large scale leo satellite networks for the future internet: Challenges and solutions to addressing and routing,"L Han, A Retana, C Westphal, R Li",2023,17,"… For instance, a Starlink LEO satellite at 550 kms above … more and more LEO constellations are being deployed, LEO satellite … for LEO constellation. Detailed analysis and simulations for …",FtmXwtzUgHQJ,"L Han, A Retana, C Westphal, R Li - Computer Networks and …, 2023 - ojs.wiserpub.com",[],https://ojs.wiserpub.com/index.php/CNC/article/view/2105,unknown,unknown
Beyond Space Routers: Revisiting the Role of LEO Satellite Constellations in Future Global Internet Architecture,"S Dou, S Zhang, X Chen, Z Guo…",2026,0,"… use of LEO satellite networks for enhancing Internet resilience during disasters and outages, as well as initiatives for crossconstellation … The Starlink constellation used in our evaluation …",qWtut8IEFSwJ,"S Dou, S Zhang, X Chen, Z Guo… - IEEE Wireless …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11456645/,unknown,unknown
LEO satellite constellation for Internet of Things,"Z Qu, G Zhang, H Cao, J Xie",2017,719,"… directions of the Internet. This paper focuses on the low earth orbit (LEO) satellite constellation-… be covered by satellite. Comparing to traditional geostationary earth orbit (GEO) systems, …",FM6nYQKVwukJ,"Z Qu, G Zhang, H Cao, J Xie - IEEE access, 2017 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8002583/,unknown,unknown
Analysis of inter-satellite link paths for LEO mega-constellation networks,"Q Chen, G Giambene, L Yang, C Fan…",2021,368,"… Starlink constellation will be much larger than that of phase I [5]. Although a single constellation layer of Starlink … of the future multiple-layer Starlink constellation. Based on this work, we …",ix-FuL0rLKYJ,"Q Chen, G Giambene, L Yang, C Fan… - IEEE Transactions on …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9351765/,unknown,unknown
The Parameters Comparison of the “Starlink” LEO Satellites Constellation for Different Orbital Shells,S Cakaj,2021,124,"… under different inclinations, determining the first Starlink orbital shell. Two next generations … of three Starlink satellite shells, toward a global presence of broadband internet services. …",pfx94iXkl9AJ,"S Cakaj - Frontiers in Communications and Networks, 2021 - frontiersin.org",[],https://www.frontiersin.org/journals/communications-and-networks/articles/10.3389/frcmn.2021.643095/full,unknown,unknown
Comprehensive analysis of recent LEO satellite constellations: Capabilities and innovative trends,"B Koosha, P Madani…",2025,6,"… Starlink satellite design plays a major role in the constellation’s ability to provide high-speed, low-latency internet … One distinct feature about the satellites in the Starlink constellation is …",sgiiAjRUdcEJ,"B Koosha, P Madani… - 2025 IEEE Aerospace …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11068587/,unknown,unknown
Modeling and Analysis for Multiple-Layer LEO Satellite Internet of Things Constellations,"M Ying, X Chen, Q Qi, Y Xu",2026,0,"… and analysis framework for LEO satellite IoT constellations. Beyond spatial modeling … 16 that the proposed CPP model match well with the Starlink constellation, which provides …",EQbm2Oz3_SIJ,"M Ying, X Chen, Q Qi, Y Xu - IEEE Transactions on Wireless …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11438246/,unknown,unknown
"A techno-economic framework for satellite networks applied to low earth orbit constellations: Assessing Starlink, OneWeb and Kuiper","OB Osoro, EJ Oughton",2021,256,"… Internet detailing the capacity and coverage for Telesat, OneWeb and Starlink constellations … we apply this framework to three LEO constellations, including Starlink, OneWeb and Kuiper …",2Rx85KDCYDsJ,"OB Osoro, EJ Oughton - IEEE access, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9568932/,unknown,unknown
