№,Явление,Ключевые формулы в скрипте
01,Квантовая механика,"Уравнение Шрёдингера, ψₙ для ямы, распад гауссова пакета σ(t), радиус Бора a₀"
02,Сакральная геометрия,"Золотая спираль r=a·φ^(2θ/π), золотой угол 137.507°, символ Шлефли"
03,Термодинамика,"Цикл Карно η=1−T₂/T₁, энтропия ΔS, Максвелл-Больцман, уравнение теплопроводности, G=H−TS"
04,Ядерное взаимодействие,"Потенциал Юкавы с m\_π=139.6 МэВ, SEMF с 5 членами, Вудс-Саксон, закон распада, пик Гамова"
05,Тёмная материя,"NFW ρ(r), масса внутри сферы M(\<r), кривая вращения v(r), WIMP-сечение, CMB D\_l"
06,Абсолютная сила,"F\_P=c⁴/G=1.21×10⁴⁴ Н, относительные силы 10⁻³⁹…1, бегущие константы, G\_μν=8πG/c⁴ T\_μν"
07,Антиматерия,"Дирак E=±√(p²c²+m²c⁴), порог парного рождения 1.022 МэВ, CPT, барионная асимметрия η=6×10⁻¹⁰"
08,Эффект бабочки,"Лоренц σ=10,ρ=28,β=8/3, численный λ≈0.9056, логистическое отображение, Хенон, Рёсслер, Дуффинг"
09,Квантовая суперпозиция,Сфера Блоха,ψ⟩=cos(θ/2),0⟩+e^(iφ)sin(θ/2),"1⟩, матрица плотности ρ, Белл","Φ⁺⟩, двухщелевая интерференция"
10,Перспектива взаимодействия,"γ=1/√(1−v²/c²), замедление времени, сокращение длины, преобразование Лоренца, световой конус s²"
11,Аккреционный диск,"r\_s=2GM/c², ISCO=3r\_s, кеплеровская v=√(GM/r), T∝r^(−3/4), метрика Шварцшильда"
12,Хаос,"Бифуркации логистической карты, λ численно, аттрактор Хенона D≈1.26, Рёсслер, Дуффинг"
13,Фундаментальное взаимодействие,"SU(3)×SU(2)×U(1), QCD V=−αₛ/r+σr, бегущие αᵢ⁻¹, массы γ,g,W,Z,H"
14,Фрактал,"Мандельброт zₙ₊₁=zₙ²+c, Жюлиа, Серпински D=log3/log2, Коха D=log4/log3, IFS Барнсли"
15,Куб/гиперкуб,"{4,3,3}, Vₙ=π^(n/2)/Γ(n/2+1), Sₙ=n·Vₙ, проклятие размерности, максимум Vₙ при n=5"
16,Резонанс,"A(ω)=(F₀/m)/√\[(ω₀²−ω²)²+(2γω)²], Q=ω₀/2γ, затухание x=A₀e^(−γt)sin(ω't), Брейт-Вигнер, биения"
17,Пространственное измерение,"V∝1/r (3D), −ln(r) (2D), 1/r² (4D), концентрация меры, гауссовы точки в n-D"
