agent,title,patentNum,uuid,companies,pubnumber,applicationTime,cat,patentStatus,applicantname,inventor,id,lawStatus,address,agency,abstracts,grantDate,applicantName,pubDate,applicationPublishTime,appnumber,patentType,imgUrl,mainCatNum,createTime,postCode,patentName,grantNumber,applicationPublishNum,allCatNum,priorityInfo
Epstein Joseph Alan,System and method for distributing media via portable storage,US201012982877,a3d278a0d00f4d61bb16b2301e2cadc1,,,2010-12-31,计算；推算；计数;,授权,"[""Epstein Joseph Alan""]",Epstein Joseph Alan,43396631,"[{""date"": """", ""detail"": """", ""status"": """"}]",PleasantonCAUS,JW Law Group,"A system and method for securely delivering and updating media using portable storage. In one embodiment, field-modifiable storage presents itself to the host system as a read-only standardized media player, where the user adds, replaces, or updates media onto that storage. A further embodiment establishes encrypted streaming from field-modifiable storage directly into the graphics processor of the viewing host, bypassing the general-purpose computing infrastructure.",2017-12-26,Epstein Joseph Alan,2017-12-26,,US201012982877,其他,"[""http://static.tianyancha.com/patent/abstractPic/US/B/985/221/US9852218(B1)_1.png""]",G06F17/30,1774317534000,,System and method for distributing media via portable storage,US9852218(B1),,G06F17/30,"[{""priorityNumber"": """", ""priorityDate"": """"}]"
Epstein Monique;Epstein Jordan,Beverage dispenser assembly,US201629560074F,317738ec909b42aab43f9fb61f65808c,,,2016-04-01,,授权,"[""Epstein Monique"",""Epstein Jordan""]",Friedman Frank,43381076,"[{""date"": """", ""detail"": """", ""status"": """"}]",MillValleyCAUS,Dergosits & Noah LLP,,2017-12-26,Epstein Monique;Epstein Jordan,2017-12-26,,US201629560074F,其他,"[""http://static.tianyancha.com/patent/abstractPic/SD/S/805/830/USD805830(S1)_1.png""]",07-01,1774317274000,,Beverage dispenser assembly,USD805830(S1),,07-01,"[{""priorityNumber"": """", ""priorityDate"": """"}]"
Kilpatrick Townsend & Stockton LLP,Epstein-barr virus variants,US16670856,9842ffb1d659f231d4b0dbd602112f01,,,2019-10-31,生物化学；啤酒；烈性酒；果汁酒；醋；微生物学；酶学；突变或遗传工程;,授权,"[""The University of Hong Kong""]",Kwai Fung Hui;Alan Kwok Shing Chiang,70180399,"[{""date"": """", ""detail"": """", ""status"": """"}]",Hong Kong CN,Kilpatrick Townsend & Stockton LLP,The present invention provides novel Epstein Barr virus （EBV） variants including those associated with increased risk for developing nasopharyngeal carcinoma （NPC）.,2021-12-28,The University of Hong Kong,2021-12-28,,US16670856,其他,,C12Q1/6888,1774686053000,,Epstein-barr virus variants,US11208699B2,,C12Q1/6888;C12Q1/70;C12Q1/686,"[{""priorityNumber"": """", ""priorityDate"": """"}]"
,ITERATIVE IMAGE SEARCH ALGORITHM INFORMED BY CONTINUOUS HUMAN-MACHINE INPUT FEEDBACK,US201715688362,bb510f38bc644b78bdae70794035865b,,,2017-08-28,计算；推算；计数;,授权,"[""Epstein Sydney Nicole"",""Epstein Paul Lawrence""]",Epstein Sydney Nicole;Epstein Paul Lawrence,43610651,"[{""date"": """", ""detail"": """", ""status"": """"}]",DixHillsNYUS,,"System and computer-implemented method of analyzing tags associated with a sequence of images presented to a user to present a current interest of the user is disclosed. An image from among a plurality of images is presented on an electronic display. The image is associated with a set of tags. An input is received indicating a user''s preference for the image. A plurality of tags is processed based on the preference and the set of tags to determine a next set of tags from the plurality of tags. A next image is determined from the plurality of images based on the next set of tags. The next image represents a physical object, different from a physical object represented by the previous image. A sequence of images is generated by repeating the above process with the next image in place of the previous image for present a user''s current interest.",2017-12-14,Epstein Sydney Nicole;Epstein Paul Lawrence,2017-12-14,,US201715688362,其他,"[""http://static.tianyancha.com/patent/abstractPic/US/A/201/735/US2017357715(A1)_1.png""]",G06F17/30,1774321097000,,ITERATIVE IMAGE SEARCH ALGORITHM INFORMED BY CONTINUOUS HUMAN-MACHINE INPUT FEEDBACK,US2017357715(A1),,G06F17/30;G06F3/0484;G06Q30/06;H04L29/08;H04W4/02,"[{""priorityNumber"": """", ""priorityDate"": """"}]"
PAUL SMITH GROUP HOLDINGS LIMITED,Leather bag,US201629582133F,c8777728b6ff445f886bd73d75f1f6d8,,,2016-10-25,,授权,"[""PAUL SMITH GROUP HOLDINGS LIMITED""]",Barclay Zoe;Lopez Sara;Davis Rosie;Chancellor Tanya;Stevenson Andrew,43575678,"[{""date"": """", ""detail"": """", ""status"": """"}]",NottinghamGB,Epstein Drangel LLP,,2017-12-05,PAUL SMITH GROUP HOLDINGS LIMITED,2017-12-05,,US201629582133F,其他,"[""http://static.tianyancha.com/patent/abstractPic/SD/S/804/172/USD804172(S1)_1.png""]",03-05,1774322183000,,Leather bag,USD804172(S1),,03-05,"[{""priorityNumber"": """", ""priorityDate"": """"}]"
"EPSTEIN, ROBERT L.",,US15/505537,03cc8f9410e9edfaa8cbe410d16ed7fd,,,2015-08-05,医学或兽医学；卫生学;,授权,"[""QURASENSEINC."", ""QURASENSE,INC.""]","NASERI, SARA;THERKELSEN, SØREN",65318670,"[{""date"": """", ""detail"": """", ""status"": """"}]","200 PAGE MILL ROAD, SUITE 100, 94306, PALO ALTO, CALIFORNIA",EPSTEIN,,2021-05-04,"QURASENSEINC.;QURASENSE,INC.",2021-05-04,,US15/505537,其他,,A61B5/00,1774607159000,,,US10993645B2,,A61B5/00;A61B5/1477;A61B10/00;A61F13/472;A61F13/42;A61B5/1468;A61F13/84;A61B5/145;A61B5/1495;A61F13/537,"[{""priorityNumber"": """", ""priorityDate"": ""2014-08-21""}]"
,一种快速检测细胞中Epstein-Barr病毒的RPA试剂盒,CN202310518270.0,67a61cbb0de20cd3476f5d8861504e93,"[{""cgid"": 3097987044, ""cname"": ""武汉大学""}]",CN116516069A,2023-05-10,生物化学；啤酒；烈性酒；果汁酒；醋；微生物学；酶学；突变或遗传工程;,专利权的授权,"[""武汉大学""]",沈超;杨媚媚;孙一丹;唐丹妮,83917162,"[{""date"": ""2024-03-22"", ""detail"": ""授权"", ""status"": ""授权""}, {""date"": ""2023-08-18"", ""detail"": ""实质审查的生效；IPC(主分类):C12Q1/70；申请日:20230510"", ""status"": ""实质审查的生效""}, {""date"": ""2023-08-01"", ""detail"": ""公布"", ""status"": ""公布""}]",湖北省武汉市武昌区八一路299号,武汉科皓知识产权代理事务所（特殊普通合伙）,本发明公开了一种快速检测细胞中Epstein‑Barr（EB）病毒的RPA试剂盒，属于生物技术领域。检测EB病毒的RPA引物和探针的序列分别如SEQ ID NO.1‑3所示，本发明的RPA试剂盒包含：所述RPA引物和探针、RPA反应液、含有RPA冻干颗粒的反应管、Nfo酶及其Buffer、试纸条、稀释液。本发明的RPA试剂盒，可以短时间内实现对EB病毒保守序列的迅速扩增，结合侧向流动试纸条，30min得到可视化结果。本发明操作便捷，对设备和实验人员要求低，具有良好的检测准确性和灵敏度，可以应用于大量筛查细胞中EB病毒污染。,2024-03-22,武汉大学,2024-03-22,2023-08-01,CN202310518270.0,发明专利,"[""http://static.tianyancha.com/patent/abstractPic/CN/B/116/516/CN116516069B_2023105182700_1.png""]",C12Q1/70,1774915684000,430072,一种快速检测细胞中Epstein-Barr病毒的RPA试剂盒,CN116516069B,CN116516069A,C12Q1/70;C12Q1/6844;C12N15/11;C12R1/93N,"[{""priorityNumber"": """", ""priorityDate"": """"}]"
"ESPTEIN, ROBERT L.",,US16/085932,caef0d811337fc27de65db36cbcdfb2d,,,2017-03-20,医学或兽医学；卫生学;,授权,"[""QURASENSE,INC.""]","NASERI, SARA;THERKELSEN, SØREN",64805200,"[{""date"": """", ""detail"": """", ""status"": """"}]","200 PAGE MILL ROAD, SUITE 100, 94306, PALO ALTO, CALIFORNIA",EPSTEIN,,2021-04-13,"QURASENSE,INC.",2021-04-13,,US16/085932,其他,,A61B5/00,1774600028000,,,US10973496B2,,A61B5/00;A61B10/00;A61F13/535;A61F13/84;A61F13/472;G01N33/52;A61F13/15;A61B10/02,"[{""priorityNumber"": """", ""priorityDate"": ""2016-03-18""}]"
"EPSTEIN, ROBERT L.",,US29/702649,b76c3b5e717b642cb9563125e011d8b5,,,2019-08-21,,授权,"[""ABLOH,VIRGIL""]","ABLOH, VIRGIL",64368091,"[{""date"": """", ""detail"": """", ""status"": """"}]","New York, NY, US",EPSTEIN,,2021-03-23,"ABLOH,VIRGIL",2021-03-23,,US29/702649,其他,,,1774593823000,,,USD913730S1,,,"[{""priorityNumber"": """", ""priorityDate"": """"}]"
,,US16/380985,25c6e0b02fb35ba4d0be5d9013fde131,,,2019-04-10,输送；包装；贮存；搬运薄的或细丝状材料;,授权,"[""EPSTEIN,MOSHE""]","EPSTEIN, MOSHE",64532054,"[{""date"": """", ""detail"": """", ""status"": """"}]","Northbrook, IL, US",STEVEN,,2021-03-30,"EPSTEIN,MOSHE",2021-03-30,,US16/380985,其他,,B65B61/02,1774596206000,,,US10961005B1,,B65B61/02;B65B41/12;B65B9/04,"[{""priorityNumber"": """", ""priorityDate"": """"}]"
