indicator,country,date,unit,value
NY.GDP.MKTP.CD,United States(US),2024,,28750956130731.2
NY.GDP.MKTP.CD,United States(US),2023,,27292170793214.4
NY.GDP.MKTP.CD,United States(US),2022,,25604848907611.0
NY.GDP.MKTP.CD,United States(US),2021,,23315080560000.0
NY.GDP.MKTP.CD,United States(US),2020,,21060473613000.0
NY.GDP.MKTP.CD,United States(US),2019,,21380976119000.0
NY.GDP.MKTP.CD,United States(US),2018,,20533057312000.0
NY.GDP.MKTP.CD,United States(US),2017,,19477336549000.0
NY.GDP.MKTP.CD,United States(US),2016,,18695110842000.0
NY.GDP.MKTP.CD,United States(US),2015,,18206020741000.0
NY.GDP.MKTP.CD,United States(US),2014,,17550680174000.0
NY.GDP.MKTP.CD,United States(US),2013,,16843190993000.0
NY.GDP.MKTP.CD,United States(US),2012,,16253972230000.0
NY.GDP.MKTP.CD,United States(US),2011,,15599728123000.0
NY.GDP.MKTP.CD,United States(US),2010,,15048964444000.0
NY.GDP.MKTP.CD,United States(US),2009,,14478064934000.0
NY.GDP.MKTP.CD,United States(US),2008,,14769857911000.0
NY.GDP.MKTP.CD,United States(US),2007,,14474226905000.0
NY.GDP.MKTP.CD,United States(US),2006,,13815586948000.0
NY.GDP.MKTP.CD,United States(US),2005,,13039199193000.0
NY.GDP.MKTP.CD,United States(US),2004,,12217193198000.0
NY.GDP.MKTP.CD,United States(US),2003,,11456442041000.0
NY.GDP.MKTP.CD,United States(US),2002,,10929112955000.0
NY.GDP.MKTP.CD,United States(US),2001,,10581929774000.0
NY.GDP.MKTP.CD,United States(US),2000,,10250947997000.0
NY.GDP.MKTP.CD,United States(US),1999,,9631174489000.0
NY.GDP.MKTP.CD,United States(US),1998,,9062818202000.0
NY.GDP.MKTP.CD,United States(US),1997,,8577554457000.0
NY.GDP.MKTP.CD,United States(US),1996,,8073122000000.0
NY.GDP.MKTP.CD,United States(US),1995,,7639749000000.0
NY.GDP.MKTP.CD,United States(US),1994,,7287236000000.0
NY.GDP.MKTP.CD,United States(US),1993,,6858559000000.0
NY.GDP.MKTP.CD,United States(US),1992,,6520327000000.0
NY.GDP.MKTP.CD,United States(US),1991,,6158129000000.0
NY.GDP.MKTP.CD,United States(US),1990,,5963144000000.0
NY.GDP.MKTP.CD,United States(US),1989,,5641580000000.0
NY.GDP.MKTP.CD,United States(US),1988,,5236438000000.0
